protein_row_id,structure_unique_sequence_id,TED_n_residues,TED_n_high,TED_n_medium,TED_n_low,TED_n_consensus,TED_high_domains,TED_medium_domains,TED_low_domains,TED_searchable_domain_count,TED_searchable_high_domain_count,TED_searchable_medium_domain_count,TED_domains_with_cath_hit_count,TED_domains_without_cath_hit_count,TED_domain_hit_coverage,TED_mean_novelty_l2_topk,TED_max_novelty_l2_topk,TED_best_top1_target,TED_best_top1_cosine,TED_best_cath_domain_id,TED_best_cath_class_code,TED_best_cath_class_name,TED_best_cath_architecture_code,TED_best_cath_architecture_name,TED_best_cath_topology_code,TED_best_cath_topology_name,TED_best_cath_superfamily_code,TED_best_cath_superfamily_name,TED_top_hit_targets_all,TED_top_hit_superfamilies_all,TED_top_hit_topologies_all,TED_best_domain_id,TED_best_domain_confidence,TED_best_domain_ranges,TED_best_domain_novelty_l2_topk,TED_best_domain_top1_target,TED_best_domain_top1_cosine,TED_best_domain_cath_superfamily_code,TED_best_domain_cath_superfamily_name,TED_domain_summary_compact
43,SEQ_933FD01A8873,38.0,0.0,1.0,0.0,1.0,na,2-38,na,1.0,0.0,1.0,1.0,0.0,1.0,38.043755,38.043755,dompdb/2dcvA00,0.843324,2dcvA00,4.0,Few Secondary Structures,4.1,Irregular,4.10.40,Omega-AgatoxinV,4.10.40.20,,dompdb/2dcvA00,4.10.40.20,4.10.40,R0011_knottin_SEQ_933FD01A8873_local_exact_prediction__M001,medium,2-38,38.043755,dompdb/2dcvA00,0.843324,4.10.40.20,,R0011_knottin_SEQ_933FD01A8873_local_exact_prediction__M001|medium|2-38|dompdb/2dcvA00|4.10.40.20|38.043755
44,SEQ_7365FCEB55B0,58.0,1.0,0.0,0.0,1.0,3-50,na,na,1.0,1.0,0.0,1.0,0.0,1.0,4514.443848,4514.443848,dompdb/3cg3A02,0.648407,3cg3A02,3.0,Alpha Beta,3.4,3-Layer(aba) Sandwich,3.40.190,D-Maltodextrin-Binding Protein; domain 2,3.40.190.10,Periplasmic binding protein-like II,dompdb/3cg3A02,3.40.190.10,3.40.190,R1024_cyclotide_SEQ_7365FCEB55B0_PDB_exact__H001,high,3-50,4514.443848,dompdb/3cg3A02,0.648407,3.40.190.10,Periplasmic binding protein-like II,R1024_cyclotide_SEQ_7365FCEB55B0_PDB_exact__H001|high|3-50|dompdb/3cg3A02|3.40.190.10|4514.443848
45,SEQ_C75BBBBCCFCC,68.0,1.0,0.0,0.0,1.0,2-65,na,na,1.0,1.0,0.0,1.0,0.0,1.0,38.466045,38.466045,dompdb/3mfdA02,0.749464,3mfdA02,2.0,Mainly Beta,2.3,Roll,2.30.140,"Spermidine Synthase; Chain: A, domain 2",2.30.140.30,,dompdb/3mfdA02,2.30.140.30,2.30.140,R0012_knottin_SEQ_C75BBBBCCFCC_local_exact_prediction__H001,high,2-65,38.466045,dompdb/3mfdA02,0.749464,2.30.140.30,,R0012_knottin_SEQ_C75BBBBCCFCC_local_exact_prediction__H001|high|2-65|dompdb/3mfdA02|2.30.140.30|38.466045
46,SEQ_A03B5F987EAF,269.0,0.0,0.0,0.0,0.0,na,na,na,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
47,SEQ_15BAF787CC9B,125.0,1.0,0.0,0.0,1.0,4-28_39-123,na,na,1.0,1.0,0.0,1.0,0.0,1.0,37.02866,37.02866,dompdb/3rnqA00,0.974995,3rnqA00,2.0,Mainly Beta,2.6,Sandwich,2.60.40,Immunoglobulin-like,2.60.40.10,Immunoglobulins,dompdb/3rnqA00,2.60.40.10,2.60.40,R1025_Ibody_SEQ_15BAF787CC9B_local_exact_prediction__H001,high,"4-28,39-123",37.02866,dompdb/3rnqA00,0.974995,2.60.40.10,Immunoglobulins,"R1025_Ibody_SEQ_15BAF787CC9B_local_exact_prediction__H001|high|4-28,39-123|dompdb/3rnqA00|2.60.40.10|37.028660"
48,SEQ_1927D5670A85,135.0,1.0,0.0,0.0,1.0,4-27_41-125,na,na,1.0,1.0,0.0,1.0,0.0,1.0,36.587902,36.587902,dompdb/6c61B01,0.970712,6c61B01,2.0,Mainly Beta,2.6,Sandwich,2.60.40,Immunoglobulin-like,2.60.40.10,Immunoglobulins,dompdb/6c61B01,2.60.40.10,2.60.40,R1026_Ibody_SEQ_1927D5670A85_local_exact_prediction__H001,high,"4-27,41-125",36.587902,dompdb/6c61B01,0.970712,2.60.40.10,Immunoglobulins,"R1026_Ibody_SEQ_1927D5670A85_local_exact_prediction__H001|high|4-27,41-125|dompdb/6c61B01|2.60.40.10|36.587902"
49,SEQ_D98E6C6DD7C4,120.0,1.0,0.0,0.0,1.0,4-118,na,na,1.0,1.0,0.0,1.0,0.0,1.0,35.474377,35.474377,dompdb/3rnqA00,0.970946,3rnqA00,2.0,Mainly Beta,2.6,Sandwich,2.60.40,Immunoglobulin-like,2.60.40.10,Immunoglobulins,dompdb/3rnqA00,2.60.40.10,2.60.40,R1027_Ibody_SEQ_D98E6C6DD7C4_local_exact_prediction__H001,high,4-118,35.474377,dompdb/3rnqA00,0.970946,2.60.40.10,Immunoglobulins,R1027_Ibody_SEQ_D98E6C6DD7C4_local_exact_prediction__H001|high|4-118|dompdb/3rnqA00|2.60.40.10|35.474377
51,SEQ_933D60060365,227.0,0.0,1.0,1.0,1.0,na,21-34_36-59,4-57,1.0,0.0,1.0,1.0,0.0,1.0,47.980602,47.980602,dompdb/2uuxA01,0.914316,2uuxA01,4.0,Few Secondary Structures,4.1,Irregular,4.10.410,Factor Xa Inhibitor,4.10.410.10,Pancreatic trypsin inhibitor Kunitz domain,dompdb/2uuxA01,4.10.410.10,4.10.410,R0014_kunitz_SEQ_933D60060365_PDB_exact__M001,medium,"21-34,36-59",47.980602,dompdb/2uuxA01,0.914316,4.10.410.10,Pancreatic trypsin inhibitor Kunitz domain,"R0014_kunitz_SEQ_933D60060365_PDB_exact__M001|medium|21-34,36-59|dompdb/2uuxA01|4.10.410.10|47.980602"
52,SEQ_8A54730D2790,30.0,0.0,0.0,1.0,0.0,na,na,2-30,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
54,SEQ_7F8DF41047F3,29.0,0.0,1.0,0.0,1.0,na,2-29,na,1.0,0.0,1.0,1.0,0.0,1.0,30.70602,30.70602,dompdb/3pqhA02,0.872366,3pqhA02,2.0,Mainly Beta,2.2,Single Sheet,2.20.70,Ubiquitin Ligase Nedd4; Chain: W;,2.20.70.60,,dompdb/3pqhA02,2.20.70.60,2.20.70,R0015_knottin_SEQ_7F8DF41047F3_local_exact_prediction__M001,medium,2-29,30.70602,dompdb/3pqhA02,0.872366,2.20.70.60,,R0015_knottin_SEQ_7F8DF41047F3_local_exact_prediction__M001|medium|2-29|dompdb/3pqhA02|2.20.70.60|30.706020
55,SEQ_29E215C98F08,30.0,0.0,1.0,0.0,1.0,na,2-30,na,1.0,0.0,1.0,1.0,0.0,1.0,31.308916,31.308916,dompdb/2l1qA00,0.836088,2l1qA00,4.0,Few Secondary Structures,4.1,Irregular,4.10.40,Omega-AgatoxinV,4.10.40.50,,dompdb/2l1qA00,4.10.40.50,4.10.40,R0016_knottin_SEQ_29E215C98F08_local_exact_prediction__M001,medium,2-30,31.308916,dompdb/2l1qA00,0.836088,4.10.40.50,,R0016_knottin_SEQ_29E215C98F08_local_exact_prediction__M001|medium|2-30|dompdb/2l1qA00|4.10.40.50|31.308916
56,SEQ_5BF65E9A402F,31.0,0.0,1.0,0.0,1.0,na,2-31,na,1.0,0.0,1.0,1.0,0.0,1.0,33.635075,33.635075,dompdb/2l1qA00,0.850553,2l1qA00,4.0,Few Secondary Structures,4.1,Irregular,4.10.40,Omega-AgatoxinV,4.10.40.50,,dompdb/2l1qA00,4.10.40.50,4.10.40,R0017_knottin_SEQ_5BF65E9A402F_local_exact_prediction__M001,medium,2-31,33.635075,dompdb/2l1qA00,0.850553,4.10.40.50,,R0017_knottin_SEQ_5BF65E9A402F_local_exact_prediction__M001|medium|2-31|dompdb/2l1qA00|4.10.40.50|33.635075
57,SEQ_8AC3A24C5F40,30.0,0.0,1.0,0.0,1.0,na,2-30,na,1.0,0.0,1.0,1.0,0.0,1.0,32.13633,32.13633,dompdb/3pqhA02,0.838533,3pqhA02,2.0,Mainly Beta,2.2,Single Sheet,2.20.70,Ubiquitin Ligase Nedd4; Chain: W;,2.20.70.60,,dompdb/3pqhA02,2.20.70.60,2.20.70,R0018_knottin_SEQ_8AC3A24C5F40_local_exact_prediction__M001,medium,2-30,32.13633,dompdb/3pqhA02,0.838533,2.20.70.60,,R0018_knottin_SEQ_8AC3A24C5F40_local_exact_prediction__M001|medium|2-30|dompdb/3pqhA02|2.20.70.60|32.136330
58,SEQ_6C3FAB49E6B7,29.0,0.0,0.0,1.0,0.0,na,na,2-29,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
59,SEQ_8964A1584BCB,38.0,0.0,1.0,0.0,1.0,na,2-38,na,1.0,0.0,1.0,0.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,R1030_cyclotide_SEQ_8964A1584BCB_PDB_exact__M001|medium|2-38|||
61,SEQ_D70C587A68A7,370.0,2.0,0.0,0.0,2.0,"7-84,106-170",na,na,2.0,2.0,0.0,2.0,0.0,1.0,37.76783,39.54747,dompdb/1jbjA02,0.885269,1jbjA02,2.0,Mainly Beta,2.6,Sandwich,2.60.40,Immunoglobulin-like,2.60.40.10,Immunoglobulins,dompdb/1jbjA02; dompdb/2rblA02,2.60.40.10,2.60.40,R1031_affimer_SEQ_D70C587A68A7_PDB_exact__H001,high,7-84,39.54747,dompdb/1jbjA02,0.885269,2.60.40.10,Immunoglobulins,R1031_affimer_SEQ_D70C587A68A7_PDB_exact__H001|high|7-84|dompdb/1jbjA02|2.60.40.10|39.547470; R1031_affimer_SEQ_D70C587A68A7_PDB_exact__H002|high|106-170|dompdb/2rblA02|2.60.40.10|35.988190
62,SEQ_1F68BF7AB035,103.0,0.0,0.0,1.0,0.0,na,na,3-103,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
63,SEQ_A287FD1D544D,65.0,1.0,0.0,0.0,1.0,8-59,na,na,1.0,1.0,0.0,1.0,0.0,1.0,6367.270508,6367.270508,dompdb/7xrjA01,0.702178,7xrjA01,,,,,,,,,dompdb/7xrjA01,,,R1032_cyclotide_SEQ_A287FD1D544D_PDB_exact__H001,high,8-59,6367.270508,dompdb/7xrjA01,0.702178,,,R1032_cyclotide_SEQ_A287FD1D544D_PDB_exact__H001|high|8-59|dompdb/7xrjA01||6367.270508
64,SEQ_96049DD523A6,37.0,1.0,0.0,0.0,1.0,4-28,na,na,1.0,1.0,0.0,1.0,0.0,1.0,2387.445557,2387.445557,dompdb/6whjD00,0.502247,6whjD00,3.0,Alpha Beta,3.4,3-Layer(aba) Sandwich,3.40.1190,UDP-N-acetylmuramoyl-L-alanine:D-glutamate ligase,3.40.1190.20,Ribokinase,dompdb/6whjD00,3.40.1190.20,3.40.1190,R1033_knottin_SEQ_96049DD523A6_PDB_exact__H001,high,4-28,2387.445557,dompdb/6whjD00,0.502247,3.40.1190.20,Ribokinase,R1033_knottin_SEQ_96049DD523A6_PDB_exact__H001|high|4-28|dompdb/6whjD00|3.40.1190.20|2387.445557
65,SEQ_6A4842FF9F08,20.0,0.0,0.0,0.0,0.0,na,na,na,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
66,SEQ_179E93B2447B,40.0,0.0,1.0,0.0,1.0,na,2-40,na,1.0,0.0,1.0,0.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,R1035_cyclotide_SEQ_179E93B2447B_PDB_exact__M001|medium|2-40|||
67,SEQ_BC873C27CAD8,47.0,1.0,0.0,0.0,1.0,2-46,na,na,1.0,1.0,0.0,1.0,0.0,1.0,3368.210205,3368.210205,dompdb/2f00A01,0.703436,2f00A01,3.0,Alpha Beta,3.4,3-Layer(aba) Sandwich,3.40.50,Rossmann fold,3.40.50.720,NAD(P)-binding Rossmann-like Domain,dompdb/2f00A01,3.40.50.720,3.40.50,R1036_cyclotide_SEQ_BC873C27CAD8_PDB_exact__H001,high,2-46,3368.210205,dompdb/2f00A01,0.703436,3.40.50.720,NAD(P)-binding Rossmann-like Domain,R1036_cyclotide_SEQ_BC873C27CAD8_PDB_exact__H001|high|2-46|dompdb/2f00A01|3.40.50.720|3368.210205
68,SEQ_166A0BDB74D3,29.0,0.0,1.0,0.0,1.0,na,2-29,na,1.0,0.0,1.0,0.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,R1037_cyclotide_SEQ_166A0BDB74D3_PDB_exact__M001|medium|2-29|||
69,SEQ_83102DDE915E,298.0,0.0,0.0,1.0,0.0,na,na,2-33,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
72,SEQ_114EBD6F4E53,103.0,1.0,0.0,0.0,1.0,4-99,na,na,1.0,1.0,0.0,1.0,0.0,1.0,45.662941,45.662941,dompdb/2bo9B01,0.952285,2bo9B01,3.0,Alpha Beta,3.1,Roll,3.10.450,"Nuclear Transport Factor 2; Chain: A,",3.10.450.10,,dompdb/2bo9B01,3.10.450.10,3.10.450,R1039_affimer_SEQ_114EBD6F4E53_local_exact_prediction__H001,high,4-99,45.662941,dompdb/2bo9B01,0.952285,3.10.450.10,,R1039_affimer_SEQ_114EBD6F4E53_local_exact_prediction__H001|high|4-99|dompdb/2bo9B01|3.10.450.10|45.662941
73,SEQ_7E02C8407329,103.0,1.0,0.0,0.0,1.0,4-99,na,na,1.0,1.0,0.0,1.0,0.0,1.0,45.737164,45.737164,dompdb/2bo9B01,0.954482,2bo9B01,3.0,Alpha Beta,3.1,Roll,3.10.450,"Nuclear Transport Factor 2; Chain: A,",3.10.450.10,,dompdb/2bo9B01,3.10.450.10,3.10.450,R1040_affimer_SEQ_7E02C8407329_local_exact_prediction__H001,high,4-99,45.737164,dompdb/2bo9B01,0.954482,3.10.450.10,,R1040_affimer_SEQ_7E02C8407329_local_exact_prediction__H001|high|4-99|dompdb/2bo9B01|3.10.450.10|45.737164
74,SEQ_0D1ADFCB7D8F,103.0,1.0,0.0,0.0,1.0,4-99,na,na,1.0,1.0,0.0,1.0,0.0,1.0,45.810165,45.810165,dompdb/2bo9B01,0.940503,2bo9B01,3.0,Alpha Beta,3.1,Roll,3.10.450,"Nuclear Transport Factor 2; Chain: A,",3.10.450.10,,dompdb/2bo9B01,3.10.450.10,3.10.450,R1041_affimer_SEQ_0D1ADFCB7D8F_local_exact_prediction__H001,high,4-99,45.810165,dompdb/2bo9B01,0.940503,3.10.450.10,,R1041_affimer_SEQ_0D1ADFCB7D8F_local_exact_prediction__H001|high|4-99|dompdb/2bo9B01|3.10.450.10|45.810165
