protein_row_id,structure_unique_sequence_id,ProtParam_MW_Da,ProtParam_pI,ProtParam_GRAVY,ProtParam_Instability_Index,ProtParam_Aromaticity,ProtParam_Ext_Coeff_Reduced,ProtParam_Ext_Coeff_Oxidized
119,SEQ_58E75048154A,8685.39,4.05,-0.4595,26.03,0.0357,5500,6250
120,SEQ_8F5AEC8D068F,8791.55,4.05,-0.5642,33.48,0.0617,12490,13240
121,SEQ_DC00107813C1,9180.88,4.05,-0.7659,28.07,0.0588,11000,11750
122,SEQ_204A89E34375,8552.24,4.05,-0.4542,27.59,0.0482,11000,11750
123,SEQ_1345A1C26971,8650.34,4.05,-0.6642,40.46,0.0494,11000,11750
124,SEQ_89C3799A7F95,8477.18,4.05,-0.7213,30.54,0.05,11000,11750
125,SEQ_2FF73853C06D,8769.28,4.05,-0.7217,25.78,0.0482,11000,11750
126,SEQ_E7C76458FBAF,13474.24,4.05,-0.6385,36.64,0.037,11000,12125
127,SEQ_42109FB413EE,5157.89,8.68,-0.8884,48.2,0.186,22460,22960
128,SEQ_EACADB92942A,9024.26,4.7,-0.3456,78.98,0.0633,2980,3355
129,SEQ_691D75937138,4425.74,4.14,-0.3256,51.71,0.0465,5500,5875
130,SEQ_1A03EA634539,3804.43,8.21,-0.3886,28.77,0.0571,6990,7490
131,SEQ_58398C995B53,3297.93,5.21,0.6567,47.67,0.1,6990,7365
132,SEQ_40765E68011F,3875.37,9.13,-0.9444,37.74,0.0833,8480,8855
133,SEQ_0869B8E70D85,3592.09,6.08,-0.6125,37.7,0.125,9970,10345
134,SEQ_AAE72F391F1F,2628.21,7.78,1.3481,24.31,0.037,0,375
135,SEQ_76B09DFD5E83,2622.89,4.67,-0.656,88.0,0.04,1490,1865
136,SEQ_30020DB18548,2568.03,9.15,-0.26,43.59,0.04,1490,1865
137,SEQ_7F185044DBF6,2618.15,9.1,-0.44,48.43,0.04,1490,1865
138,SEQ_406A0D9B635F,2646.17,9.13,-0.464,59.53,0.04,1490,1865
139,SEQ_95CAD16A75C5,2703.22,9.13,-0.4615,57.62,0.0385,1490,1865
140,SEQ_50D805A37F3A,2894.5,9.77,-1.0962,34.78,0.0385,1490,1865
141,SEQ_459D9E5EC1A1,2756.28,9.34,-0.8115,47.32,0.0385,1490,1865
142,SEQ_C21733F7B9F8,2573.99,9.15,-0.416,52.47,0.04,1490,1865
143,SEQ_1B95FF825216,2746.18,9.13,-0.7846,64.54,0.0385,1490,1865
144,SEQ_249F87633CE4,2840.34,4.05,0.6077,53.31,0.0769,5500,5875
146,SEQ_E6EC5F9661A0,3063.52,6.68,0.4,3.15,0.129,6990,7490
147,SEQ_6C7F2A15A305,2705.04,8.9,-0.8042,71.93,0.125,4470,4845
148,SEQ_2B9402D99210,3027.44,9.1,-0.9778,80.26,0.1111,4470,4845
149,SEQ_E49B6E3AB245,2996.38,8.9,-0.8926,96.53,0.1111,4470,4845
150,SEQ_322A70F6861B,6272.16,8.55,-0.3727,79.52,0.1273,11460,11835
151,SEQ_09C0D748E01C,2198.56,5.5,1.1714,26.21,0.1905,6990,7240
152,SEQ_6CC365DA7BAD,2184.54,5.5,1.1571,30.25,0.1905,6990,7240
154,SEQ_3ACC7C7C546C,5989.66,4.53,-0.3745,56.13,0.1961,15930,16305
155,SEQ_B4DF3D1780AE,4607.02,4.05,-0.5857,35.92,0.0476,5500,5875
156,SEQ_935069375D36,4666.09,4.19,-0.6548,26.75,0.0476,5500,5875
157,SEQ_F57CD1C8931E,4538.08,4.14,-0.3667,57.36,0.0476,1490,1865
158,SEQ_D57ECD3F9752,5538.06,4.12,-0.2151,43.41,0.0566,5500,5875
159,SEQ_BC80A23CA0CE,4871.22,4.74,-1.0159,69.09,0.0455,5500,5875
160,SEQ_13F806737871,10284.86,4.05,-0.8072,62.67,0.0515,11000,11750
161,SEQ_F7A0E98B82A1,9807.49,4.05,-0.7611,43.02,0.0556,11000,11750
162,SEQ_5D73FCF6A7E9,5756.45,8.89,-0.7196,55.31,0.1176,4470,4845
163,SEQ_3FA9D2DA072A,4507.05,4.17,-0.3571,70.57,0.0476,5500,5875
165,SEQ_D3552FA1B285,4518.03,4.17,-0.5619,79.43,0.0476,5500,5875
169,SEQ_8C79DE346C2A,3769.23,7.69,-0.3243,25.41,0.0811,8480,8980
170,SEQ_7E4F2FFC3DE2,6043.95,9.02,-0.4431,32.66,0.2157,7450,7825
171,SEQ_F2D673CE647E,4705.07,4.05,-0.5023,34.13,0.0682,5500,5875
172,SEQ_8E067D0580FD,5249.59,4.05,-0.756,73.55,0.04,5500,5875
173,SEQ_F0EEBDB0EE90,4668.2,7.79,-0.7048,79.01,0.0476,5500,5875
174,SEQ_D1CE361C5FB7,4403.92,7.7,-0.815,98.8,0.075,6990,7490
175,SEQ_B5E0F5F88047,3548.05,4.05,0.1455,42.49,0.0909,2980,3355
176,SEQ_DB9B0287AF70,3547.06,4.05,0.1455,22.85,0.0909,2980,3355
177,SEQ_22F9ADACD27E,4056.63,6.25,-0.5103,58.99,0.0256,1490,1990
178,SEQ_8A6E06C54895,4258.88,8.89,-0.465,52.84,0.075,2980,3355
179,SEQ_3371734A63D5,4022.48,6.26,-0.6846,45.95,0.0256,1490,1865
180,SEQ_095AF8D89F2F,3656.38,9.38,-0.2879,43.72,0.0303,1490,1865
182,SEQ_D3EB9DBFF112,5079.55,4.24,-0.5449,46.67,0.0612,1490,1865
183,SEQ_8D785B1C8F1B,5261.56,4.05,-0.9959,64.53,0.0408,5500,5875
184,SEQ_74E901BF18D9,10785.41,4.05,-0.7663,60.86,0.0594,11000,11750
185,SEQ_AA285EA55B48,3240.63,4.43,-0.3406,36.5,0.0312,0,375
186,SEQ_731BBF82664F,4842.21,4.14,-0.5312,59.82,0.0417,0,375
187,SEQ_090E8EBF5A31,5385.77,4.05,-0.5667,45.95,0.0588,5500,5875
188,SEQ_C09242DD916F,5370.77,4.05,-0.654,81.89,0.06,6990,7365
189,SEQ_ACFCA5566055,75040.21,6.67,-0.653,45.43,0.034,29910,30285
190,SEQ_4B2B95A3BC94,4825.36,4.53,-0.35,32.19,0.0417,5500,5875
191,SEQ_F77775A3F819,8813.99,5.2,-0.0494,52.66,0.0506,2980,3355
192,SEQ_76418B7EE719,5069.48,4.7,-0.7408,31.5,0.0408,5500,5875
193,SEQ_6192EDA9C35B,3162.7,8.94,-0.7923,20.33,0.0769,0,375
194,SEQ_1DC7D1A3B3C1,3774.34,8.68,-0.7212,34.15,0.0606,0,375
195,SEQ_99242D1EA66E,3259.81,8.94,-0.8222,18.88,0.0741,0,375
196,SEQ_20B2B3FA19E6,6225.94,5.13,-0.5037,43.83,0.1296,1490,1865
197,SEQ_8AC7BEA8C12F,6339.09,5.13,-0.4127,43.21,0.1273,1490,1865
199,SEQ_7FF8A21A22A4,9046.31,4.82,-0.2544,69.77,0.0633,2980,3355
200,SEQ_796B1D1C8681,7286.08,8.23,-0.673,50.23,0.1746,7450,7825
201,SEQ_EEDB4D5DD8AB,5046.54,5.61,-0.8063,67.87,0.0208,0,375
202,SEQ_2B627ED59C5B,10170.67,4.05,-0.7938,50.08,0.0521,11000,11750
203,SEQ_0BE9D42231D3,9316.85,4.05,-0.8663,42.32,0.0465,11000,11750
204,SEQ_C5B162431E78,4702.13,5.08,-1.1286,65.1,0.0476,5500,5875
205,SEQ_6131D5E85EA3,4754.3,8.7,-0.919,84.88,0.0476,5500,5875
206,SEQ_449FDDD313B8,3177.78,6.03,0.6767,22.9,0.0667,6990,7365
207,SEQ_72E6E03F2084,3081.69,6.03,0.8172,11.61,0.069,2980,3355
209,SEQ_BE3D26B5FC87,3167.78,7.76,0.6733,33.94,0.0667,2980,3355
210,SEQ_C5F2B6A6D757,3169.76,8.33,0.4833,20.07,0.0667,2980,3355
211,SEQ_5879EB2E842B,3135.7,5.96,0.78,33.62,0.0667,6990,7365
212,SEQ_6F82EBA7A8A4,3169.67,5.96,0.58,21.67,0.0667,2980,3355
213,SEQ_CEEF9FC0B070,3140.68,5.96,0.7467,26.04,0.0667,2980,3355
214,SEQ_A0D24ADED30B,3105.67,5.96,0.8167,22.75,0.0667,6990,7365
215,SEQ_5796AD1741A1,3434.85,8.86,-0.5375,17.84,0.0312,1490,1615
216,SEQ_901FD8A97F49,3188.76,6.03,0.5367,17.86,0.1,2980,3355
218,SEQ_DE81FB8FA1ED,4332.11,8.62,0.4275,65.34,0.1,2980,3605
219,SEQ_96A33ACF9385,4384.19,8.62,0.2575,79.79,0.1,2980,3605
220,SEQ_94EC9B34D91C,6196.98,6.31,-0.4796,68.06,0.1296,11460,11835
221,SEQ_69ADA7593BD7,2713.16,9.22,-1.2043,39.82,0.0435,5500,5875
222,SEQ_BBFDA5A89A5B,3908.56,7.71,0.2324,46.63,0.1471,2980,3480
223,SEQ_304E9EC353D1,5201.11,8.41,0.0543,29.48,0.1087,2980,3605
224,SEQ_2F97C0BDC032,3377.0,8.67,0.2483,42.13,0.1724,9970,10345
226,SEQ_2E59D42920C0,5833.36,7.75,-0.8686,31.67,0.1569,7450,7825
227,SEQ_783878824313,9782.64,4.15,-0.5818,35.65,0.0682,9970,9970
228,SEQ_7C462E25F1CF,9782.64,4.15,-0.6455,25.4,0.0682,9970,9970
229,SEQ_4752D1E63B20,4877.66,6.72,-0.4786,19.71,0.1429,9970,10345
230,SEQ_9779986ACEEC,8540.89,6.84,-0.3787,15.2,0.1333,18450,19200
231,SEQ_9E1B9C7EC560,3724.29,8.35,-0.6758,22.8,0.0303,1490,1865
232,SEQ_9898A9A6A5F0,4080.85,8.9,-0.4147,25.89,0.1176,6990,7365
233,SEQ_0551C7B0C5FA,4051.61,8.63,-1.2364,70.73,0.1515,13980,14355
234,SEQ_BF8AA209B521,4099.7,8.86,-1.1697,67.29,0.1818,15470,15845
235,SEQ_501339B4FCE0,3976.46,5.43,-0.6727,46.48,0.2121,20970,21345
236,SEQ_56087505117A,3809.43,8.9,-0.7455,13.6,0.0909,11000,11375
237,SEQ_10BCEA57E5EB,4897.52,7.7,-0.7409,61.4,0.0682,12490,12990
238,SEQ_A40588336D1A,4116.73,8.34,-0.3194,36.74,0.1111,16500,16875
239,SEQ_D15E9F5CDE93,3492.09,8.33,0.1233,41.06,0.1667,9970,10345
240,SEQ_65956DD32B4A,3419.84,4.17,-0.2467,-0.19,0.1333,12490,12865
241,SEQ_81DA82FC492D,3278.88,4.43,0.7656,10.13,0.0625,1490,1865
242,SEQ_18C9D88F2AB1,3837.35,4.93,-0.2061,44.08,0.1515,9970,10345
243,SEQ_1064F1BBADE0,3504.04,4.68,0.5562,33.34,0.1875,0,375
244,SEQ_166A56DE5414,6125.93,8.29,-0.3518,30.17,0.1429,5960,6335
245,SEQ_B7D3E46D9C74,6282.11,8.62,-0.4246,39.86,0.1404,5960,6335
246,SEQ_42990AF03AF9,6109.97,8.62,-0.2089,22.32,0.1429,5960,6335
247,SEQ_176CE87658CF,6095.9,8.3,-0.2018,22.32,0.1429,5960,6335
248,SEQ_094BD7A8E797,6266.15,8.86,-0.2842,32.15,0.1404,5960,6335
249,SEQ_D6609B6A249C,6365.29,9.06,-0.393,29.99,0.1404,5960,6335
253,SEQ_ED27B2EE2F92,6137.98,8.63,-0.2196,22.32,0.1429,5960,6335
254,SEQ_246029983F7E,6294.17,8.87,-0.2947,32.15,0.1404,5960,6335
256,SEQ_CEC0F17907BA,3925.5,8.32,-0.4778,35.49,0.1667,23490,23865
257,SEQ_4A00841C32A9,6516.54,6.97,-0.5259,79.48,0.0517,12490,12865
258,SEQ_21EAC8733D7C,3387.97,6.7,0.5355,15.14,0.129,1490,1865
264,SEQ_DBE40AA18DD7,4790.32,7.77,-0.4682,32.42,0.1136,13980,14355
265,SEQ_529526FB1902,4803.36,8.32,-0.4182,36.9,0.1136,13980,14355
266,SEQ_31B0DC92D92B,37799.13,5.57,-0.4808,37.46,0.0914,58330,58705
267,SEQ_DA797457E404,6820.81,7.75,-0.3492,31.96,0.1864,8480,8855
270,SEQ_8D6CF17897ED,4738.35,8.18,-0.8071,41.4,0.119,4470,4970
273,SEQ_83837E0EAC5E,18826.9,4.75,-0.7832,47.16,0.1242,8940,9690
274,SEQ_8F641CB40B93,31978.01,8.47,-0.7569,47.35,0.1159,20400,21525
276,SEQ_4548663D50C8,2904.28,4.05,0.3179,42.0,0.0714,1490,1865
277,SEQ_63BAFD4997B6,3374.93,5.38,0.3258,39.05,0.0645,6990,7365
278,SEQ_99B535682833,3324.78,4.37,0.1645,22.19,0.0645,6990,7365
280,SEQ_4B6E5D41BC4B,6421.39,8.37,-0.3,45.96,0.1228,9970,10220
281,SEQ_877807C996E2,13360.71,7.95,-0.272,29.46,0.112,26930,27055
282,SEQ_B33F44384B9F,13468.78,6.91,-0.288,35.56,0.112,28420,28545
283,SEQ_858F3CAEFDC7,12496.57,7.97,-0.5419,35.15,0.094,29450,29575
284,SEQ_E0FBD4935300,12448.68,4.92,-0.3538,37.19,0.0855,18450,18575
285,SEQ_DDEBD40D833E,12423.76,7.84,-0.306,39.02,0.0855,18450,18700
286,SEQ_A372B93D916B,13411.77,5.24,-0.096,30.68,0.112,21430,21555
287,SEQ_634DA21BBD7E,12967.3,8.16,-0.4915,41.81,0.1017,28420,28920
288,SEQ_06E4AC2B8DAA,12961.25,8.27,-0.5025,43.44,0.1017,28420,28795
289,SEQ_CD6470B1AB51,12961.25,8.27,-0.5042,40.45,0.1017,28420,28795
290,SEQ_A0DD32C51D8B,12955.2,8.42,-0.5153,42.08,0.1017,28420,28670
291,SEQ_27CD91EBC04D,24927.06,8.93,-0.7695,37.98,0.0955,26930,27930
293,SEQ_CE3E634F5DAD,6237.18,8.32,-0.1321,45.52,0.1607,9970,10345
294,SEQ_48BFB75AA0A7,6124.02,8.32,-0.2164,51.21,0.1636,9970,10345
295,SEQ_6B6871EF4D15,7044.68,4.43,-0.45,67.58,0.1094,13980,14355
297,SEQ_11D89D0E1E25,6686.51,8.33,-0.4443,25.61,0.1311,4470,4845
299,SEQ_46F5F3DAD2A6,7130.95,5.61,-0.6738,59.29,0.1475,6990,7365
300,SEQ_E149625B82FE,7059.88,5.61,-0.715,60.11,0.15,6990,7365
301,SEQ_B9A4884FB1B3,7173.03,5.81,-0.705,64.06,0.1667,6990,7365
302,SEQ_05F51BAB9A7D,7155.94,5.81,-0.795,58.15,0.1667,6990,7365
303,SEQ_C5B8DC8C7CB6,6632.3,4.29,-0.22,55.89,0.1667,9970,10345
304,SEQ_90CECD3A4B2F,4003.72,8.66,-0.2676,64.68,0.1471,16500,16875
305,SEQ_EE38C4E62CD0,3614.2,8.65,-0.4152,60.65,0.0909,6990,7365
306,SEQ_B36CD74AA4D8,4113.81,8.89,-0.58,69.01,0.0857,6990,7365
307,SEQ_A1015F7AA066,4299.03,9.08,-0.6649,63.52,0.0811,6990,7365
308,SEQ_97CE606D00A3,3937.47,8.35,-0.5914,53.74,0.0857,6990,7365
309,SEQ_C023E37D61D5,3909.46,8.34,-0.5743,39.8,0.0857,6990,7365
310,SEQ_506D4890B71C,3994.56,8.66,-0.7543,56.17,0.0857,6990,7365
311,SEQ_B062878C03F9,3733.3,6.78,-0.1147,31.01,0.1176,6990,7365
312,SEQ_AD8E250440A0,3901.43,6.78,-0.2235,26.31,0.1765,9970,10345
313,SEQ_B08301AC4ABD,4120.71,8.33,-0.4171,22.59,0.2,8480,8855
314,SEQ_927E766F7C7A,3993.54,8.37,-0.2429,51.08,0.1429,17990,18365
315,SEQ_AADC6485B6D0,4272.74,5.01,-1.0417,82.21,0.1111,8480,8980
316,SEQ_18F971D35104,3098.55,4.53,0.2267,70.27,0.0667,6990,7365
317,SEQ_7EA2BB1E8DD8,4695.44,8.66,-0.9125,79.67,0.075,11000,11375
318,SEQ_49A19427092B,3932.45,8.37,-0.4838,73.36,0.0541,5500,5875
319,SEQ_F2180E6A83F4,3960.47,8.38,-0.5,73.36,0.0541,5500,5875
320,SEQ_739E9342BE73,3787.37,5.45,0.0973,65.27,0.027,0,375
321,SEQ_65BE5B6425D8,5281.08,6.35,-0.3063,25.53,0.0625,6990,7490
322,SEQ_6CA75DDF2797,7667.58,9.04,-0.9588,51.86,0.1176,5960,6335
323,SEQ_ED98C412D9D0,3311.9,4.9,0.0966,76.24,0.0345,5500,5875
325,SEQ_9D87764F7CD2,6910.73,9.06,-0.8607,47.94,0.1311,9970,10345
326,SEQ_34F779EE0DCE,3182.8,8.35,0.6323,4.19,0.0645,1490,1865
327,SEQ_65239EB2CD2B,3128.67,7.85,0.42,16.59,0.1,2980,3355
328,SEQ_E6C7C90AE86C,3954.64,8.34,-0.2722,62.32,0.1667,17990,18365
329,SEQ_A7D1E7F71A02,6687.49,4.66,-0.3393,59.68,0.1964,21430,21805
330,SEQ_F82E6B99CCFE,13872.61,5.4,-0.4571,54.32,0.1513,22920,23670
333,SEQ_8AD8B1FEC9A8,3310.84,5.4,0.2276,31.55,0.1379,4470,4845
334,SEQ_CAA7AC829967,10060.03,5.05,-0.0522,35.21,0.1522,31400,31400
338,SEQ_5503C2E92DA3,4232.92,5.05,-0.5257,32.22,0.1143,13980,14355
339,SEQ_05E7F98DA59B,4300.75,6.01,-0.6436,28.93,0.1026,12490,12865
340,SEQ_410802E5D042,3340.93,6.18,0.6903,58.55,0.0968,1490,1865
341,SEQ_952A85849468,3218.74,8.38,-0.0133,85.3,0.0333,1490,1865
342,SEQ_70EA66936376,3209.65,4.37,0.0379,49.53,0.1724,2980,3355
343,SEQ_F8750FC24C32,3123.73,8.36,0.66,16.17,0.0667,1490,1865
344,SEQ_CDCD43A26CC5,3212.82,8.35,0.6194,20.92,0.0645,1490,1865
345,SEQ_F8A89D880E4C,3252.89,8.36,0.7613,24.92,0.0645,1490,1865
346,SEQ_EF7F12511F8D,3279.92,8.36,0.6516,32.56,0.0645,1490,1865
347,SEQ_987363D13FF3,3225.82,8.35,0.5226,31.29,0.0645,1490,1865
348,SEQ_F1D70791CA36,3307.97,8.36,0.6419,26.35,0.0645,1490,1865
349,SEQ_803DAC949A88,3025.54,4.05,1.0467,34.32,0.0667,1490,1865
350,SEQ_0C03D16A0230,3151.75,8.37,0.6133,37.23,0.0667,1490,1865
351,SEQ_FAF393055710,3212.82,8.35,0.5258,23.65,0.0645,1490,1865
352,SEQ_1D4B5AA4428A,3139.73,8.36,0.5467,22.59,0.0667,1490,1865
353,SEQ_E0F64C51C075,2936.49,7.85,0.8821,40.35,0.1429,1490,1865
354,SEQ_29D39A81CC80,3148.67,4.05,0.9452,63.4,0.0645,1490,1865
355,SEQ_50E2E3433288,3119.74,8.36,0.68,22.59,0.0333,1490,1865
356,SEQ_A39DE300DFFB,3075.69,8.36,0.6517,28.4,0.069,6990,7365
357,SEQ_4859D163E586,3148.74,8.36,0.53,16.17,0.0667,6990,7365
359,SEQ_58C03E198240,3235.86,8.35,0.5548,21.85,0.0645,6990,7365
360,SEQ_BEFE1CB278E6,3325.0,8.66,0.4323,29.48,0.0968,6990,7365
361,SEQ_335EAE3883BB,3205.84,8.67,0.34,28.55,0.0667,6990,7365
362,SEQ_867E69F3F823,3164.74,8.36,0.4433,22.59,0.0667,6990,7365
363,SEQ_A6D0ABDC18B2,3137.68,8.35,0.19,30.13,0.0667,6990,7365
364,SEQ_44667868241D,3251.86,8.35,0.471,28.06,0.0645,6990,7365
365,SEQ_30F0ABEF31A1,3178.77,8.36,0.4467,16.17,0.0667,6990,7365
366,SEQ_3E612659B806,3121.68,7.85,0.6133,29.01,0.0667,6990,7365
367,SEQ_A77B12FAFF00,3192.8,8.36,0.4267,22.59,0.0667,6990,7365
