protein_row_id,structure_unique_sequence_id,foldseek_status,foldseek_target,foldseek_evalue,foldseek_bits,foldseek_alntmscore,foldseek_qtmscore,foldseek_ttmscore,foldseek_lddt,foldseek_prob,foldseek_fident,foldseek_alnlen,foldseek_qcov,foldseek_tcov,foldseek_avg_tm,foldseek_confidence
42,SEQ_1D1EBCBDE4B7,hit,2mzf-assembly1_A,2.892e-12,501.0,1.0,1.0,1.0,1.0,1.0,1.0,64.0,1.0,1.0,1.0,high
43,SEQ_933FD01A8873,hit,1dkc-assembly1_A,0.04536,85.0,0.6418,0.6418,0.6418,0.6884,0.992,0.526,38.0,1.0,1.0,0.6418,medium
44,SEQ_7365FCEB55B0,hit,2mwr-assembly1_A,6.898e-10,376.0,1.0,1.0,1.0,1.0,1.0,1.0,58.0,1.0,1.0,1.0,high
45,SEQ_C75BBBBCCFCC,hit,5ty4-assembly1_B,9.682e-08,290.0,0.8146,0.7811,0.8146,0.8249,1.0,0.701,67.0,0.985,0.938,0.79785,high
46,SEQ_A03B5F987EAF,hit,4gn3-assembly1_B,4.038e-18,855.0,1.0,1.0,1.0,1.0,1.0,1.0,105.0,1.0,1.0,1.0,high
47,SEQ_15BAF787CC9B,hit,7dv4-assembly1_G,1.445e-19,848.0,0.9598,0.8541,0.9598,0.8881,1.0,0.872,125.0,1.0,0.982,0.90695,high
48,SEQ_1927D5670A85,hit,7dv4-assembly1_G,8.660000000000001e-20,860.0,0.9777,0.8065,0.9777,0.8823,1.0,0.874,127.0,0.941,1.0,0.8921,high
49,SEQ_D98E6C6DD7C4,hit,7su1-assembly1_C,1.183e-18,734.0,0.9123,0.8538,0.9123,0.8167,1.0,0.858,120.0,1.0,1.0,0.88305,high
51,SEQ_933D60060365,hit,8aj7-assembly2_B,7.214e-12,493.0,1.0,1.0,1.0,1.0,1.0,1.0,58.0,1.0,1.0,1.0,high
52,SEQ_8A54730D2790,no_hit,,,,,,,,,,,,,,no_hit
54,SEQ_7F8DF41047F3,hit,1zwu-assembly1_A,0.003827,121.0,0.8056,0.7694,0.7515,0.8369,1.0,0.74,27.0,0.931,0.9,0.76045,high
55,SEQ_29E215C98F08,hit,1zwu-assembly1_A,0.002071,131.0,0.8173,0.7801,0.7801,0.8431,1.0,0.75,28.0,0.933,0.933,0.7801,high
56,SEQ_5BF65E9A402F,hit,1zuv-assembly1_A,0.0004277,133.0,0.7843,0.7447,0.7641,0.778,1.0,0.724,29.0,0.935,0.967,0.7544,medium
57,SEQ_8AC3A24C5F40,hit,2n1s-assembly1_A,0.0008707,133.0,0.7924,0.7924,0.7924,0.802,1.0,0.766,30.0,1.0,1.0,0.7924,high
58,SEQ_6C3FAB49E6B7,hit,4tto-assembly1_A,0.006279,121.0,0.84,0.816,0.816,0.8228,1.0,0.607,28.0,0.966,0.966,0.816,high
59,SEQ_8964A1584BCB,hit,1bnb-assembly1_A,3.319e-08,331.0,1.0,1.0,1.0,1.0,1.0,1.0,38.0,1.0,1.0,1.0,high
61,SEQ_D70C587A68A7,hit,5ml9-assembly1_A,8.978e-35,1605.0,1.0,1.0,1.0,1.0,1.0,1.0,172.0,1.0,1.0,1.0,high
62,SEQ_1F68BF7AB035,hit,5ml9-assembly1_B,1.122e-17,839.0,1.0,1.0,1.0,1.0,1.0,1.0,103.0,1.0,1.0,1.0,high
63,SEQ_A287FD1D544D,hit,2j6d-assembly1_A,3.28e-13,517.0,1.0,1.0,1.0,1.0,1.0,1.0,65.0,1.0,1.0,1.0,high
64,SEQ_96049DD523A6,hit,1p8b-assembly1_A,4.681e-07,299.0,1.0,1.0,1.0,1.0,1.0,1.0,37.0,1.0,1.0,1.0,high
65,SEQ_6A4842FF9F08,no_hit,,,,,,,,,,,,,,no_hit
66,SEQ_179E93B2447B,hit,1l4v-assembly1_A,3.121e-07,308.0,1.0,1.0,1.0,1.0,1.0,1.0,40.0,1.0,1.0,1.0,high
67,SEQ_BC873C27CAD8,hit,1n4n-assembly1_A,1.495e-09,392.0,1.0,1.0,1.0,1.0,1.0,1.0,47.0,1.0,1.0,1.0,high
68,SEQ_166A0BDB74D3,hit,1nb1-assembly1_A,2.288e-05,221.0,1.0,1.0,1.0,1.0,1.0,1.0,29.0,1.0,1.0,1.0,high
69,SEQ_83102DDE915E,hit,1zmp-assembly1_A,8.262e-06,257.0,1.0,1.0,1.0,1.0,1.0,1.0,32.0,1.0,1.0,1.0,high
72,SEQ_114EBD6F4E53,hit,5ml9-assembly1_B,6.176e-10,412.0,0.8694,0.8455,0.8455,0.8395,1.0,0.79,100.0,0.971,0.971,0.8455,high
73,SEQ_7E02C8407329,hit,5ml9-assembly1_B,1.199e-09,403.0,0.8791,0.8553,0.8553,0.8404,1.0,0.8,100.0,0.971,0.971,0.8553,high
74,SEQ_0D1ADFCB7D8F,hit,5ml9-assembly1_B,8.122e-11,450.0,0.8742,0.8502,0.8502,0.8452,1.0,0.8,100.0,0.971,0.971,0.8502,high
76,SEQ_83445B4F74AB,hit,1zdb-assembly1_A,3.17e-05,243.0,1.0,1.0,1.0,1.0,1.0,1.0,38.0,1.0,1.0,1.0,high
77,SEQ_533D1CE60FB9,hit,5jbt-assembly1_Y,1.242e-07,315.0,1.0,1.0,1.0,1.0,1.0,1.0,38.0,1.0,1.0,1.0,high
78,SEQ_8FC3ECF6130A,hit,1zjd-assembly1_B,3.21e-07,288.0,0.9232,0.9232,0.8774,0.8904,1.0,0.625,56.0,1.0,0.982,0.9003,high
79,SEQ_B1599713AE24,hit,2mnz-assembly1_A,3.788e-07,232.0,0.8005,0.7882,0.7647,0.7545,1.0,0.98,52.0,0.981,0.945,0.77645,medium
80,SEQ_6A43FD5EA9DC,no_hit,,,,,,,,,,,,,,no_hit
81,SEQ_6BE0EFC66E2B,hit,1ixt-assembly1_A,0.0001296,216.0,1.0,1.0,1.0,1.0,1.0,1.0,27.0,1.0,1.0,1.0,high
82,SEQ_AAEDAA0FEEDB,no_hit,,,,,,,,,,,,,,no_hit
84,SEQ_AF30ABE91422,hit,5v7p-assembly1_A,6.425e-38,2073.0,1.0,1.0,1.0,1.0,1.0,1.0,280.0,1.0,1.0,1.0,high
85,SEQ_60892EF90140,hit,4gn4-assembly1_B,5.435e-20,910.0,1.0,1.0,1.0,1.0,1.0,1.0,108.0,1.0,1.0,1.0,high
87,SEQ_34669548F14A,hit,1nbj-assembly1_A,5.296e-06,239.0,1.0,1.0,1.0,1.0,1.0,1.0,30.0,1.0,1.0,1.0,high
88,SEQ_7177C9A563D3,hit,4bqd-assembly1_A,5.967e-09,400.0,1.0,1.0,0.6538,1.0,1.0,1.0,51.0,1.0,0.654,0.8269,high
89,SEQ_BBC5CC71FA91,hit,1qdp-assembly1_A,1.394e-08,335.0,1.0,1.0,1.0,1.0,1.0,1.0,42.0,1.0,1.0,1.0,high
90,SEQ_B78F75B84A68,hit,1vtx-assembly1_A,1.549e-09,366.0,1.0,1.0,1.0,1.0,1.0,1.0,42.0,1.0,1.0,1.0,high
93,SEQ_9033148A984A,no_hit,,,,,,,,,,,,,,no_hit
94,SEQ_0FE34D351A8A,hit,2mau-assembly1_A,5.235e-05,243.0,1.0,1.0,1.0,1.0,1.0,1.0,30.0,1.0,1.0,1.0,high
95,SEQ_9D030F6E19A4,hit,2myh-assembly1_A,4.807e-08,335.0,1.0,1.0,1.0,1.0,1.0,1.0,41.0,1.0,1.0,1.0,high
96,SEQ_68A6E3BEB1DB,hit,6cei-assembly1_A,4.865e-06,260.0,1.0,1.0,1.0,1.0,1.0,1.0,32.0,1.0,1.0,1.0,high
97,SEQ_E7EE2D96D382,hit,7wkk-assembly1_f,6.328,34.0,0.6089,0.2117,0.02861,0.379,0.126,0.181,33.0,0.258,0.03,0.120155,low
98,SEQ_A7F6DEA711DD,hit,2mt8-assembly1_A,6.786e-08,321.0,1.0,1.0,1.0,1.0,1.0,1.0,39.0,1.0,1.0,1.0,high
99,SEQ_A25A44A56E98,hit,1adz-assembly1_A,1.17e-15,613.0,1.0,1.0,1.0,1.0,1.0,1.0,71.0,1.0,1.0,1.0,high
101,SEQ_3F4ACE0F456C,hit,8jxg-assembly1_A,2.784e-10,218.0,0.3913,0.3913,0.07341,0.7461,1.0,0.429,135.0,0.985,0.117,0.232355,low
102,SEQ_759B1A27D9B4,hit,8jxb-assembly1_A,1.991e-07,202.0,0.5246,0.4381,0.1718,0.7782,1.0,0.54,74.0,0.822,0.303,0.30495,low
103,SEQ_747905F623EC,hit,7qbf-assembly1_C,0.0004343,124.0,0.8493,0.7187,0.4477,0.7867,1.0,0.41,39.0,0.83,0.5,0.5832,medium
104,SEQ_3CFE05BB5FF8,hit,8jxg-assembly1_A,5.474e-09,204.0,0.4059,0.3629,0.06535,0.6739,1.0,0.478,117.0,0.867,0.098,0.214125,low
105,SEQ_0E08A687B153,hit,1za8-assembly1_A,6.053e-06,234.0,1.0,1.0,1.0,1.0,1.0,1.0,31.0,1.0,1.0,1.0,high
106,SEQ_E5EC5B09A0A7,hit,1yp8-assembly1_A,3.316e-06,259.0,1.0,1.0,1.0,1.0,1.0,1.0,33.0,1.0,1.0,1.0,high
107,SEQ_E6E91B3D4EB3,hit,2eri-assembly1_A,1.594e-05,240.0,1.0,1.0,1.0,1.0,1.0,1.0,31.0,1.0,1.0,1.0,high
108,SEQ_A36B28EA26ED,hit,1bh4-assembly1_A,2.823e-06,240.0,1.0,1.0,1.0,1.0,1.0,1.0,30.0,1.0,1.0,1.0,high
110,SEQ_1B1C229C5ADB,hit,2kuk-assembly1_A,1.156e-06,244.0,1.0,1.0,1.0,1.0,1.0,1.0,30.0,1.0,1.0,1.0,high
111,SEQ_0B459F735DF8,hit,2b38-assembly1_A,1.086e-05,242.0,1.0,1.0,1.0,1.0,1.0,1.0,31.0,1.0,1.0,1.0,high
113,SEQ_D7286932E259,hit,2jwm-assembly1_A,2.946e-06,234.0,1.0,1.0,1.0,1.0,1.0,1.0,29.0,1.0,1.0,1.0,high
114,SEQ_EB5BD689BCD3,hit,2f2j-assembly1_A,1.816e-05,226.0,1.0,1.0,1.0,1.0,1.0,1.0,29.0,1.0,1.0,1.0,high
115,SEQ_4BF5E4B9B81A,hit,2f2i-assembly1_A,2.258e-05,234.0,1.0,1.0,1.0,1.0,1.0,1.0,29.0,1.0,1.0,1.0,high
119,SEQ_58E75048154A,hit,2fcw-assembly1_B,2.002e-07,195.0,0.4966,0.4725,0.4966,0.7858,1.0,0.423,78.0,0.929,0.974,0.48455,low
120,SEQ_8F5AEC8D068F,hit,8juu-assembly1_B,5.979e-09,217.0,0.7173,0.6896,0.01688,0.7459,1.0,0.48,77.0,0.951,0.017,0.35324,low
121,SEQ_DC00107813C1,hit,8ufb-assembly1_X,1.027e-07,223.0,0.6276,0.5745,0.6107,0.7796,1.0,0.546,75.0,0.882,0.936,0.5926,medium
122,SEQ_204A89E34375,hit,8juu-assembly1_B,2.204e-06,200.0,0.6768,0.6768,0.0184,0.7412,1.0,0.517,87.0,1.0,0.02,0.3476,low
123,SEQ_1345A1C26971,hit,8ufb-assembly1_X,1.553e-08,197.0,0.4537,0.4328,0.4483,0.7323,1.0,0.545,77.0,0.951,0.962,0.44055,low
124,SEQ_89C3799A7F95,hit,8jxd-assembly1_B-2,4.046e-08,205.0,0.5532,0.5391,0.3255,0.7226,1.0,0.519,77.0,0.962,0.481,0.4323,low
125,SEQ_2FF73853C06D,hit,2fcw-assembly1_B,3.213e-07,180.0,0.5704,0.5255,0.5495,0.7482,1.0,0.472,74.0,0.892,0.91,0.5375,medium
126,SEQ_E7C76458FBAF,hit,8em4-assembly1_B,4.048e-10,232.0,0.4402,0.4319,0.02305,0.7331,1.0,0.446,132.0,0.97,0.031,0.227475,low
127,SEQ_42109FB413EE,hit,2roo-assembly1_A,9.437e-10,389.0,1.0,1.0,1.0,1.0,1.0,1.0,43.0,1.0,1.0,1.0,high
128,SEQ_EACADB92942A,hit,1mjv-assembly1_B,7.562e-18,848.0,1.0,1.0,1.0,1.0,1.0,1.0,96.0,1.0,1.0,1.0,high
129,SEQ_691D75937138,hit,7qbg-assembly1_D,0.0003167,130.0,0.9251,0.766,0.4183,0.8104,1.0,0.542,35.0,0.814,0.432,0.59215,medium
130,SEQ_1A03EA634539,hit,1omb-assembly1_A,6.813e-07,284.0,1.0,1.0,1.0,1.0,1.0,1.0,35.0,1.0,1.0,1.0,high
131,SEQ_58398C995B53,hit,2mi9-assembly1_A,8.179e-06,255.0,1.0,1.0,1.0,1.0,1.0,1.0,30.0,1.0,1.0,1.0,high
132,SEQ_40765E68011F,hit,1q3j-assembly1_A,1.037e-07,314.0,1.0,1.0,1.0,1.0,1.0,1.0,36.0,1.0,1.0,1.0,high
133,SEQ_0869B8E70D85,hit,1htx-assembly1_A,7.622e-07,294.0,1.0,1.0,1.0,1.0,1.0,1.0,32.0,1.0,1.0,1.0,high
134,SEQ_AAE72F391F1F,hit,5gsf-assembly1_A,0.0001056,214.0,1.0,1.0,1.0,1.0,1.0,1.0,27.0,1.0,1.0,1.0,high
135,SEQ_76B09DFD5E83,hit,1hvw-assembly1_A,1.994e-05,216.0,1.0,1.0,1.0,1.0,1.0,1.0,25.0,1.0,1.0,1.0,high
136,SEQ_30020DB18548,hit,1fyg-assembly1_A,0.001812,171.0,1.0,1.0,1.0,1.0,1.0,1.0,25.0,1.0,1.0,1.0,high
137,SEQ_7F185044DBF6,hit,1tt3-assembly1_A,0.000174,199.0,1.0,1.0,1.0,1.0,1.0,1.0,25.0,1.0,1.0,1.0,high
138,SEQ_406A0D9B635F,hit,1dw4-assembly1_A,0.0006249,189.0,1.0,1.0,1.0,1.0,1.0,1.0,25.0,1.0,1.0,1.0,high
139,SEQ_95CAD16A75C5,hit,1feo-assembly1_A,9.103e-05,216.0,1.0,1.0,1.0,1.0,1.0,1.0,26.0,1.0,1.0,1.0,high
140,SEQ_50D805A37F3A,hit,1v4q-assembly1_A,0.0003216,202.0,1.0,1.0,1.0,1.0,1.0,1.0,26.0,1.0,1.0,1.0,high
141,SEQ_459D9E5EC1A1,hit,1omn-assembly1_A,0.0002685,193.0,1.0,1.0,1.0,1.0,1.0,1.0,26.0,1.0,1.0,1.0,high
142,SEQ_C21733F7B9F8,hit,2km9-assembly1_A,0.0002784,190.0,1.0,1.0,1.0,1.0,1.0,1.0,25.0,1.0,1.0,1.0,high
143,SEQ_1B95FF825216,hit,1mvj-assembly1_A,7.249e-05,196.0,1.0,1.0,1.0,1.0,1.0,1.0,26.0,1.0,1.0,1.0,high
144,SEQ_249F87633CE4,hit,1f3k-assembly1_A,0.0001612,196.0,1.0,1.0,1.0,1.0,1.0,1.0,26.0,1.0,1.0,1.0,high
146,SEQ_E6EC5F9661A0,hit,2ml7-assembly1_A,4.71e-06,253.0,1.0,1.0,1.0,1.0,1.0,1.0,31.0,1.0,1.0,1.0,high
147,SEQ_6C7F2A15A305,hit,2cco-assembly1_A,0.0002249,196.0,1.0,1.0,1.0,1.0,1.0,1.0,27.0,1.0,1.0,1.0,high
148,SEQ_2B9402D99210,hit,1tr6-assembly1_A,6.797e-05,213.0,1.0,1.0,1.0,1.0,1.0,1.0,27.0,1.0,1.0,1.0,high
149,SEQ_E49B6E3AB245,hit,1omc-assembly1_A,1.92e-05,221.0,1.0,1.0,1.0,1.0,1.0,1.0,27.0,1.0,1.0,1.0,high
150,SEQ_322A70F6861B,hit,1yc0-assembly1_I,1.818e-08,319.0,0.9247,0.9247,0.7774,0.8862,1.0,0.981,55.0,1.0,0.818,0.85105,high
151,SEQ_09C0D748E01C,no_hit,,,,,,,,,,,,,,no_hit
152,SEQ_6CC365DA7BAD,no_hit,,,,,,,,,,,,,,no_hit
154,SEQ_3ACC7C7C546C,hit,1zr0-assembly2_D,1.374e-09,419.0,1.0,1.0,0.8095,1.0,1.0,1.0,51.0,1.0,0.81,0.90475,high
155,SEQ_B4DF3D1780AE,hit,7qbe-assembly2_D,2.479e-05,172.0,0.9355,0.8323,0.4186,0.9141,1.0,0.567,37.0,0.881,0.43,0.62545,medium
156,SEQ_935069375D36,hit,7qbf-assembly1_C,3.601e-06,170.0,0.8432,0.8247,0.4581,0.8332,1.0,0.56,41.0,0.976,0.526,0.6414,medium
157,SEQ_F57CD1C8931E,hit,7qbg-assembly2_B,0.001733,122.0,0.8622,0.8105,0.4284,0.8205,1.0,0.461,39.0,0.929,0.459,0.61945,medium
158,SEQ_D57ECD3F9752,hit,1j8e-assembly1_A,0.0002304,132.0,0.8603,0.6692,0.7927,0.7941,1.0,0.45,40.0,0.755,0.886,0.73095,medium
159,SEQ_BC80A23CA0CE,hit,2kri-assembly1_B,7.104e-05,167.0,0.9445,0.7018,0.8062,0.8386,1.0,0.593,32.0,0.727,0.842,0.754,medium
160,SEQ_13F806737871,hit,5b4y-assembly1_B,6.948e-09,186.0,0.5204,0.4355,0.5204,0.7533,1.0,0.435,85.0,0.876,0.924,0.47795,low
161,SEQ_F7A0E98B82A1,hit,8jxf-assembly1_B,8.95e-08,175.0,0.571,0.5433,0.06159,0.7074,1.0,0.464,84.0,0.933,0.066,0.302445,low
162,SEQ_5D73FCF6A7E9,hit,1irh-assembly1_A,9.729e-17,527.0,1.0,1.0,1.0,1.0,1.0,1.0,61.0,1.0,1.0,1.0,high
163,SEQ_3FA9D2DA072A,hit,5b4y-assembly1_B,0.0005288,142.0,0.8731,0.8002,0.4457,0.8417,1.0,0.473,38.0,0.905,0.468,0.62295,medium
165,SEQ_D3552FA1B285,hit,5b4y-assembly1_B,0.0003132,144.0,0.873,0.8001,0.4457,0.8452,1.0,0.473,38.0,0.905,0.468,0.6229,medium
169,SEQ_8C79DE346C2A,hit,2m36-assembly1_A,6.688e-07,283.0,1.0,1.0,1.0,1.0,1.0,1.0,38.0,1.0,1.0,1.0,high
170,SEQ_7E4F2FFC3DE2,hit,3l33-assembly3_G,7.442e-06,258.0,0.9564,0.9564,0.9389,0.9415,1.0,0.372,51.0,1.0,0.981,0.94765,high
171,SEQ_F2D673CE647E,hit,5b4y-assembly1_B,2.415e-05,177.0,0.9308,0.7926,0.4528,0.8831,1.0,0.513,37.0,0.841,0.468,0.6227,medium
172,SEQ_8E067D0580FD,hit,8yw1-assembly1_C,0.001709,137.0,0.8768,0.7016,0.3031,0.833,1.0,0.512,39.0,0.78,0.314,0.50235,medium
173,SEQ_F0EEBDB0EE90,hit,7qbd-assembly2_D,0.000221,152.0,0.9253,0.8241,0.4577,0.8823,1.0,0.459,37.0,0.881,0.474,0.6409,medium
174,SEQ_D1CE361C5FB7,hit,6cdx-assembly1_A,0.004525,108.0,0.8694,0.5047,0.5431,0.6049,1.0,0.952,21.0,0.525,0.568,0.5239,medium
175,SEQ_B5E0F5F88047,hit,2n2g-assembly1_A,7.682e-07,291.0,1.0,1.0,1.0,1.0,1.0,1.0,33.0,1.0,1.0,1.0,high
176,SEQ_DB9B0287AF70,hit,2m3j-assembly1_A,2.794e-06,278.0,1.0,1.0,1.0,1.0,1.0,1.0,33.0,1.0,1.0,1.0,high
177,SEQ_22F9ADACD27E,hit,2it8-assembly1_A,0.0003916,153.0,0.8954,0.6515,0.8454,0.7501,1.0,0.962,27.0,0.692,0.931,0.74845,medium
178,SEQ_8A6E06C54895,hit,1ha9-assembly1_A,8.443e-07,280.0,1.0,1.0,1.0,1.0,1.0,1.0,34.0,1.0,1.0,1.0,high
179,SEQ_3371734A63D5,hit,2it8-assembly1_A,0.0003384,172.0,0.9334,0.6673,0.8771,0.8031,1.0,1.0,27.0,0.692,0.931,0.7722,medium
180,SEQ_095AF8D89F2F,hit,1ha9-assembly1_A,8.443e-07,280.0,1.0,1.0,1.0,1.0,1.0,1.0,34.0,1.0,1.0,1.0,high
182,SEQ_D3EB9DBFF112,hit,7qbd-assembly2_D,0.0002803,137.0,0.8778,0.7034,0.4581,0.7606,1.0,0.5,38.0,0.776,0.487,0.58075,medium
183,SEQ_8D785B1C8F1B,hit,2kri-assembly1_B,0.0002173,158.0,0.9327,0.6285,0.7983,0.8303,1.0,0.593,32.0,0.653,0.842,0.7134,medium
184,SEQ_74E901BF18D9,hit,8ufb-assembly1_X,1.201e-07,177.0,0.5563,0.4563,0.5563,0.6909,1.0,0.47,85.0,0.842,0.936,0.5063,medium
185,SEQ_AA285EA55B48,hit,6mm4-assembly1_A,9.62e-06,253.0,1.0,1.0,1.0,1.0,1.0,1.0,33.0,1.0,1.0,1.0,high
186,SEQ_731BBF82664F,hit,1ajj-assembly1_A,0.0004632,137.0,0.9089,0.6799,0.8646,0.7908,1.0,0.514,35.0,0.729,0.946,0.77225,medium
187,SEQ_090E8EBF5A31,hit,8yw1-assembly1_C,0.0003016,141.0,0.8772,0.6548,0.2867,0.8447,1.0,0.567,37.0,0.725,0.298,0.47075,low
188,SEQ_C09242DD916F,hit,7qbd-assembly2_D,4.394e-05,148.0,0.8606,0.6933,0.4612,0.7934,1.0,0.461,39.0,0.78,0.5,0.57725,medium
189,SEQ_ACFCA5566055,hit,4lsd-assembly3_H,8.219e-06,213.0,0.8026,0.1271,0.8026,0.6121,1.0,0.16,106.0,0.154,0.989,0.46485,low
190,SEQ_4B2B95A3BC94,hit,8juu-assembly1_B,5.726e-05,141.0,0.881,0.6999,0.008558,0.7519,1.0,0.54,37.0,0.771,0.009,0.354229,low
191,SEQ_F77775A3F819,hit,1rv6-assembly1_W,4.348e-11,496.0,0.9436,0.9436,0.7918,0.9444,1.0,0.974,79.0,1.0,0.832,0.8677,high
192,SEQ_76418B7EE719,hit,7qbf-assembly1_C,0.0001966,140.0,0.8992,0.6828,0.4409,0.7856,1.0,0.472,36.0,0.735,0.462,0.56185,medium
193,SEQ_6192EDA9C35B,hit,1kcp-assembly1_A,5.822e-05,225.0,1.0,1.0,1.0,1.0,1.0,1.0,27.0,1.0,1.0,1.0,high
194,SEQ_1DC7D1A3B3C1,hit,2n8e-assembly1_A,1.653e-05,241.0,1.0,1.0,1.0,1.0,1.0,1.0,34.0,1.0,1.0,1.0,high
195,SEQ_99242D1EA66E,hit,1kcp-assembly1_A,5.822e-05,225.0,1.0,1.0,1.0,1.0,1.0,1.0,27.0,1.0,1.0,1.0,high
196,SEQ_20B2B3FA19E6,hit,1aap-assembly1_A,0.0008263,156.0,0.7905,0.7905,0.7657,0.7986,1.0,0.333,54.0,1.0,0.911,0.7781,medium
197,SEQ_8AC7BEA8C12F,hit,1aap-assembly1_A,0.003266,125.0,0.6839,0.6839,0.6755,0.7385,1.0,0.327,55.0,1.0,0.911,0.6797,medium
199,SEQ_7FF8A21A22A4,hit,1mjv-assembly1_B,9.049e-12,548.0,0.9802,0.9802,0.8093,0.977,1.0,0.898,79.0,1.0,0.823,0.89475,high
200,SEQ_796B1D1C8681,hit,3uir-assembly2_D,1.301e-07,313.0,0.9796,0.8576,0.946,0.9049,1.0,0.581,55.0,0.873,0.965,0.9018,high
201,SEQ_EEDB4D5DD8AB,hit,2kri-assembly1_B,0.0001359,140.0,0.932,0.6224,0.7755,0.7917,1.0,0.483,31.0,0.646,0.816,0.69895,medium
