protein_row_id,structure_unique_sequence_id,PLMSearch_query_original,PLMSearch_query_normalized,PLMSearch_hit_count,PLMSearch_top1_target,PLMSearch_top1_score,PLMSearch_top1_confidence_level,PLMSearch_top2_target,PLMSearch_top3_target,PLMSearch_top4_target,PLMSearch_top5_target,PLMSearch_top6_target,PLMSearch_top7_target,PLMSearch_top8_target,PLMSearch_top9_target,PLMSearch_top10_target,PLMSearch_top11_target,PLMSearch_top12_target,PLMSearch_top13_target,PLMSearch_top14_target,PLMSearch_top15_target,PLMSearch_top16_target,PLMSearch_top17_target,PLMSearch_top18_target,PLMSearch_top19_target,PLMSearch_top20_target
43,SEQ_933FD01A8873,R0011_knottin_SEQ_933FD01A8873|knottin|McAMPl,R0011_knottin_SEQ_933FD01A8873|knottin|McAMPl,20,P11058,0.9952999949455261,high,P0DM14,P83745,P85269,P84780,P61232,B3EWN3,P31328,P84779,P84781,P0CH59,P58606,P83910,P15968,P60177,P60178,P0C1Z8,P0DQJ6,P0C1Z9,A0A3F2YLP5
45,SEQ_C75BBBBCCFCC,R0012_knottin_SEQ_C75BBBBCCFCC|knottin|humTGFB2,R0012_knottin_SEQ_C75BBBBCCFCC|knottin|humTGFB2,20,P81077,0.9954000115394592,high,P62947,Q6YLX4,Q5RFG9,P62948,P62949,Q71H53,P62945,P62946,P24803,P62122,P62125,P62124,P62120,P62121,P62123,P0C824,P0C825,P0C816,A9JX08
46,SEQ_A03B5F987EAF,R0013_obody_SEQ_A03B5F987EAF|obody|OBody AM1L10,R0013_obody_SEQ_A03B5F987EAF|obody|OBody_AM1L10,20,Q9LMK5,0.697059174213237,medium,Q5ZM20,Q6NLG7,P0C5Y7,Q87L73,Q7MH89,Q8DCL5,A9JTY4,Q9KUZ1,Q86WV5,Q9LXK1,A8FR96,B8CIQ2,A8H8L1,P60471,Q92374,Q6LM42,P47616,B0TUU8,Q72UU3
51,SEQ_933D60060365,R0014_kunitz_SEQ_933D60060365|kunitz|Kunitz domain of Amblyomin-X,R0014_kunitz_SEQ_933D60060365|kunitz|Kunitz_domain_of_Amblyomin-X,20,P0DJ69,0.9951000213623047,high,P0DJ74,P81548,P0DMJ3,Q9TWF8,Q9TWG0,P81547,P26228,P0DMJ2,P20229,Q9TWF9,P19859,P0DMJ4,P81162,P10280,P86862,P25660,P0DJ49,P81902,P81906
54,SEQ_7F8DF41047F3,R0015_knottin_SEQ_7F8DF41047F3|knottin|aSR3,R0015_knottin_SEQ_7F8DF41047F3|knottin|aSR3,20,C0HLV4,0.6644440724085996,medium,C0HLV3,C0HLV5,C0HLN3,P83790,A0A1S6EK92,A0A1S6EK91,P10969,P85966,P10968,P02876,P15312,P29032,Q9AYP9,Q0JF21,Q01MB6,E1UYU0,E1UYT9,Q9S8M0,P02877
55,SEQ_29E215C98F08,R0016_knottin_SEQ_29E215C98F08|knottin|aSR2,R0016_knottin_SEQ_29E215C98F08|knottin|aSR2,20,C0HLV4,0.6722879726073927,medium,C0HLV3,C0HLV5,C0HLN3,P83790,A0A1S6EK92,A0A1S6EK91,P10969,P85966,P10968,P02876,P29032,P15312,Q9AYP9,Q0JF21,Q01MB6,E1UYU0,E1UYT9,Q9S8M0,P02877
56,SEQ_5BF65E9A402F,R0017_knottin_SEQ_5BF65E9A402F|knottin|aSG3,R0017_knottin_SEQ_5BF65E9A402F|knottin|aSG3,20,C0HLV4,0.6820897949339866,medium,C0HLV3,C0HLV5,C0HLN3,P83790,A0A1S6EK92,A0A1S6EK91,P10969,P85966,P10968,P02876,P15312,P29032,Q9AYP9,Q0JF21,Q01MB6,E1UYU0,E1UYT9,P02877,Q9S8M0
57,SEQ_8AC3A24C5F40,R0018_knottin_SEQ_8AC3A24C5F40|knottin|aSG1,R0018_knottin_SEQ_8AC3A24C5F40|knottin|aSG1,20,C0HLV4,0.7012092274534609,high,C0HLV3,C0HLV5,C0HLN3,P83790,A0A1S6EK92,A0A1S6EK91,P10969,P85966,P10968,P29032,P02876,P15312,Q9AYP9,Q0JF21,Q01MB6,E1UYU0,E1UYT9,P02877,Q9S8M0
62,SEQ_1F68BF7AB035,R0019_affimer_SEQ_1F68BF7AB035|affimer|Affimer F4 with specificity for Fc gamma receptor IIIa,R0019_affimer_SEQ_1F68BF7AB035|affimer|Affimer_F4_with_specificity_for_Fc_gamma_receptor_IIIa,20,Q945Q1,0.9961000084877014,high,Q10992,Q06445,Q9LEI7,Q03196,P25973,Q10993,P81714,P08935,Q41906,P81061,P86472,P70202,Q10Q46,P09229,Q6TPK4,Q64361,Q41916,Q84WT8,P20907
76,SEQ_83445B4F74AB,"R0020_avimer_SEQ_83445B4F74AB|avimer|MINI PROTEIN A DOMAIN, Z38",R0020_avimer_SEQ_83445B4F74AB|avimer|MINI_PROTEIN_A_DOMAIN_Z38,20,Q6G6Q3,0.3794787468993661,low,Q8NV09,A7X659,Q931F4,Q2YVZ4,A6QJQ7,A8YYG7,Q5HDD7,Q2FVK5,Q2FE79,A5IVJ8,A6U4E8,Q99RL2,Q6GE15,P19909,P06654,P38507,A0A0H3K686,Q9L7Q2,P96315
77,SEQ_533D1CE60FB9,R0021_kunitz_SEQ_533D1CE60FB9|kunitz|Human amyloid protein precursor homologue,R0021_kunitz_SEQ_533D1CE60FB9|kunitz|Human_amyloid_protein_precursor_homologue,20,Q9TWF8,0.9961000084877014,high,Q9TWG0,P86862,P10280,P0DMJ3,Q9TWF9,P81547,P81548,P0DMJ2,P0DMJ4,P20229,P81902,P00994,P26228,P00984,Q7LZE3,P81906,P25660,P19859,D2Y490
78,SEQ_8FC3ECF6130A,R0022_kunitz_SEQ_8FC3ECF6130A|kunitz|human amyloid protein precursor homolog Kunitz-type inhibitor domain,R0022_kunitz_SEQ_8FC3ECF6130A|kunitz|human_amyloid_protein_precursor_homolog_Kunitz-type_inhibitor_domain,20,Q9TWG0,0.6159182403075789,medium,Q9TWF8,P0DMJ3,Q9TWF9,P81548,P81547,P0DMJ2,P10280,P20229,P0DMJ4,P86862,P81902,P00994,P00984,Q7LZE3,P81906,P26228,P25660,P0DJ49,P19859
79,SEQ_B1599713AE24,R0023_phdfingerdomain_SEQ_B1599713AE24|phdfingerdomain|KDM5B,R0023_phdfingerdomain_SEQ_B1599713AE24|phdfingerdomain|KDM5B,20,Q9M9L0,0.3683901164852621,low,Q3ZCF6,Q9CPX9,Q5R8A2,Q9NYG5,Q54L48,Q9DAG9,Q9UT86,Q9UBF6,Q9WTZ1,Q9W636,Q9FEN9,Q6AXW4,Q9BWX1,Q61103,Q9W638,P0DH78,F4JL28,P58268,Q20052
85,SEQ_60892EF90140,R0024_obody_SEQ_60892EF90140|obody|OBody AM2EP06,R0024_obody_SEQ_60892EF90140|obody|OBody_AM2EP06,20,Q9LMK5,0.7023865170683763,high,Q5ZM20,Q87L73,Q7MH89,Q8DCL5,Q9KUZ1,Q6NLG7,P0C5Y7,A9JTY4,B8CIQ2,A8FR96,A8H8L1,Q6LM42,B0TUU8,Q86WV5,Q9LXK1,Q72UU3,Q8F052,P60471,P47616
88,SEQ_7177C9A563D3,R0025_kunitz_SEQ_7177C9A563D3|kunitz|Tissue Factor Pathway Inhibitor (TFPI),R0025_kunitz_SEQ_7177C9A563D3|kunitz|Tissue_Factor_Pathway_Inhibitor_TFPI,20,P26228,0.9952999949455261,high,Q9TWF8,P81902,Q9TWG0,P0DMJ3,Q9TWF9,P20229,P0DMJ2,P81547,P81548,P10280,P0DMJ4,P86862,P00984,Q7LZE3,P81906,P00994,P25660,A0A1Z0YU59,P0DJ49
89,SEQ_BBC5CC71FA91,R0026_knottin_SEQ_BBC5CC71FA91|knottin|Delta-hexatoxin-Ar1a,R0026_knottin_SEQ_BBC5CC71FA91|knottin|Delta-hexatoxin-Ar1a,20,P83909,0.9958000183105469,high,P0DM14,P83746,P61232,P0CI04,P83557,B3EWN3,P83745,P83996,P0DQJ6,P83910,P0C1Z9,P0C1Z8,P86418,A0A3F2YLP5,P31328,P0CH59,P61790,P83892,P0CH52
99,SEQ_A25A44A56E98,R0027_kunitz_SEQ_A25A44A56E98|kunitz|Tissue Factor Pathway Inhibitor (TFPI),R0027_kunitz_SEQ_A25A44A56E98|kunitz|Tissue_Factor_Pathway_Inhibitor_TFPI,20,Q9TWG0,0.9962000250816345,high,Q9TWF8,P86862,Q9TWF9,P0DMJ3,P81548,P20229,P81547,P10280,P0DMJ2,P26228,P0DMJ4,P81906,P00984,Q7LZE3,P81902,P25660,P00994,P19859,A0A1Z0YU59
105,SEQ_0E08A687B153,R0028_cyclotide_SEQ_0E08A687B153|cyclotide|vhl-1,R0028_cyclotide_SEQ_0E08A687B153|cyclotide|vhl-1,20,P84522,0.3608562015986916,low,C0HL14,C0HKH1,C0HKK3,C0HL15,C0HKH5,C0HK35,C0HKH7,C0HL16,C0HKK5,C0HKH2,C0HKK0,C0HKJ2,P84642,C0HL22,C0HKK4,C0HL34,P84641,C0HK40,C0HL37
106,SEQ_E5EC5B09A0A7,R0029_cyclotide_SEQ_E5EC5B09A0A7|cyclotide|tricyclon A,R0029_cyclotide_SEQ_E5EC5B09A0A7|cyclotide|tricyclon_A,20,C0HL21,0.3156650055222414,low,C0HL22,C0HL37,C0HL14,C0HKH5,C0HKH7,C0HKI8,C0HL16,C0HL15,C0HK35,C0HL20,C0HJS3,C0HK32,C0HJS8,C0HKH1,P84642,P84522,C0HKJ2,C0HKJ0,C0HL34
119,SEQ_58E75048154A,R0030_avimer_SEQ_58E75048154A|avimer|,R0030_avimer_SEQ_58E75048154A|avimer|,20,Q5T700,0.31284792128558614,low,E3LYX0,Q21629,Q98931,P98155,P98165,P98166,P98156,P35953,P20063,Q99087,Q924X6,Q9VER6,Q99088,P35950,P35951,Q14114,P35952,P01131,Q28832
120,SEQ_8F5AEC8D068F,R0031_avimer_SEQ_8F5AEC8D068F|avimer|,R0031_avimer_SEQ_8F5AEC8D068F|avimer|,20,Q5T700,0.32504199802446365,low,E3LYX0,Q21629,P98155,P98165,Q98931,P98166,P98156,P35953,P20063,Q99087,Q924X6,Q28832,P01131,P01130,P35950,P35951,Q14114,P35952,Q99088
121,SEQ_DC00107813C1,R0032_avimer_SEQ_DC00107813C1|avimer|,R0032_avimer_SEQ_DC00107813C1|avimer|,20,Q5T700,0.31513583112529275,low,E3LYX0,Q21629,P98155,P98165,P98166,P98156,P35953,Q98931,P20063,Q28832,P01131,P35950,Q99087,P35951,Q924X6,P01130,P35952,Q14114,Q99088
122,SEQ_204A89E34375,R0033_avimer_SEQ_204A89E34375|avimer|,R0033_avimer_SEQ_204A89E34375|avimer|,20,Q5T700,0.28960640136108395,unsupported,E3LYX0,Q21629,Q98931,P98155,P98165,P98166,P98156,P35953,Q99087,P20063,Q924X6,Q99088,P35951,Q28832,P35952,P35950,Q14114,Q9VER6,P01131
123,SEQ_1345A1C26971,R0034_avimer_SEQ_1345A1C26971|avimer|,R0034_avimer_SEQ_1345A1C26971|avimer|,20,Q5T700,0.3077828079769134,low,E3LYX0,Q21629,P98155,Q98931,P98165,P98166,P98156,P35953,P20063,Q99087,Q924X6,P35950,Q28832,Q14114,P35951,P01131,P01130,P35952,Q99088
124,SEQ_89C3799A7F95,R0035_avimer_SEQ_89C3799A7F95|avimer|,R0035_avimer_SEQ_89C3799A7F95|avimer|,20,Q5T700,0.3078640587964774,low,E3LYX0,Q21629,P98155,P98165,Q98931,P98166,P98156,P35953,P20063,Q99087,Q924X6,Q28832,P01131,P35950,P35951,Q99088,Q14114,P35952,P01130
125,SEQ_2FF73853C06D,R0036_avimer_SEQ_2FF73853C06D|avimer|,R0036_avimer_SEQ_2FF73853C06D|avimer|,20,Q5T700,0.27532718949299806,unsupported,E3LYX0,Q21629,Q98931,P98155,Q99087,P98165,P98156,P98166,P35953,P20063,Q9VER6,Q99088,Q924X6,P35952,Q5SZI1,P35950,P35951,Q28832,Q14114
126,SEQ_E7C76458FBAF,R0037_avimer_SEQ_E7C76458FBAF|avimer|,R0037_avimer_SEQ_E7C76458FBAF|avimer|,20,Q5T700,0.30819491098268514,low,E3LYX0,Q21629,Q98931,P98155,P20063,P98165,P98166,P35953,P98156,P35951,Q924X6,Q99087,P35952,P35950,Q28832,P01131,P01130,Q14114,Q99088
128,SEQ_EACADB92942A,R0038_knottin_SEQ_EACADB92942A|knottin|Vascular Endothelial Growth Factor,R0038_knottin_SEQ_EACADB92942A|knottin|Vascular_Endothelial_Growth_Factor,20,P0DL42,0.5687817410480882,medium,P83942,P82475,C0K3N2,Q9XS47,P49764,Q63434,Q330K6,C0K3N3,P67862,P67863,P67861,Q90X24,Q90X23,Q6J936,B0VXV4,B0VXV3,C0K3N1,P12837,C0K3N5
129,SEQ_691D75937138,R0039_avimer_SEQ_691D75937138|avimer|,R0039_avimer_SEQ_691D75937138|avimer|,20,Q5T700,0.33531885586550203,low,E3LYX0,Q21629,E2AX35,P85831,Q5SZI1,P18208,Q9VER6,Q98931,P98165,P98155,P98166,P98156,P35953,P20063,Q99087,Q924X6,G5EF33,Q14114,P35950
132,SEQ_40765E68011F,R0040_knottin_SEQ_40765E68011F|knottin|ALO3,R0040_knottin_SEQ_40765E68011F|knottin|ALO3,20,P84780,0.4562280129702092,low,P84779,P84781,P61232,P31328,B3EWN3,P60177,P60178,P0C1Z8,P0CH59,P15968,P0C1Z9,P58606,P83910,P11058,A0A3F2YLP5,P83557,P0DQJ6,P84778,P83745
146,SEQ_E6EC5F9661A0,R0041_knottin_SEQ_E6EC5F9661A0|knottin|Specific abundant protein 3,R0041_knottin_SEQ_E6EC5F9661A0|knottin|Specific_abundant_protein_3,20,P0DOW6,0.45612680920429227,low,P68423,P0C7K5,P0C7K4,P61232,C7T1P3,P0DQJ6,C7T1P4,P0CH59,P0CH13,B3EWN3,P0C7K6,A0A3F2YLP5,P84780,P84779,P82601,P84781,P0CH55,P58606,P0C352
150,SEQ_322A70F6861B,R0042_kunitz_SEQ_322A70F6861B|kunitz|hepatocyte growth factor activator inhibitor type-1,R0042_kunitz_SEQ_322A70F6861B|kunitz|hepatocyte_growth_factor_activator_inhibitor_type-1,20,P62756,0.995199978351593,high,P62757,Q9TWF8,Q9TWG0,P0DMJ3,Q9TWF9,P81548,P86862,P20229,P10280,P0DMJ2,P81547,P0DMJ4,P26228,P81902,P25660,P81906,P00994,P00984,Q7LZE3
154,SEQ_3ACC7C7C546C,R0043_kunitz_SEQ_3ACC7C7C546C|kunitz|TFPI-2,R0043_kunitz_SEQ_3ACC7C7C546C|kunitz|TFPI-2,20,P86862,0.9952999949455261,high,Q9TWF8,Q9TWG0,P81548,P0DMJ3,Q9TWF9,P20229,P0DMJ2,P10280,P81547,P0DMJ4,P00984,Q7LZE3,P26228,P25660,P81906,P00994,P19859,P81902,A0A1Z0YU59
155,SEQ_B4DF3D1780AE,R0044_avimer_SEQ_B4DF3D1780AE|avimer|,R0044_avimer_SEQ_B4DF3D1780AE|avimer|,20,Q5T700,0.3347009418378448,low,E3LYX0,Q21629,E2AX35,P85831,Q5SZI1,P18208,Q9VER6,Q98931,P98155,P98165,P98166,P98156,Q99087,P35953,P20063,Q924X6,G5EF33,P35950,Q14114
156,SEQ_935069375D36,R0045_avimer_SEQ_935069375D36|avimer|,R0045_avimer_SEQ_935069375D36|avimer|,20,Q5T700,0.3364387021327495,low,E3LYX0,Q21629,E2AX35,P85831,P18208,Q5SZI1,Q9VER6,Q98931,P98155,P98165,G5EF33,P98166,P98156,Q99087,P35953,P20063,Q9R097,Q924X6,Q14114
157,SEQ_F57CD1C8931E,R0046_avimer_SEQ_F57CD1C8931E|avimer|,R0046_avimer_SEQ_F57CD1C8931E|avimer|,20,Q5T700,0.35140111717689493,low,E3LYX0,Q21629,E2AX35,P85831,P18208,Q9VER6,Q5SZI1,Q98931,Q9R097,P98165,P98155,P20063,O43278,Q924X6,P46023,G5EF33,P98166,P98156,P35953
158,SEQ_D57ECD3F9752,R0047_avimer_SEQ_D57ECD3F9752|avimer|,R0047_avimer_SEQ_D57ECD3F9752|avimer|,20,Q5T700,0.3147028988243008,low,E2AX35,P85831,E3LYX0,Q21629,Q5SZI1,P18208,Q9VER6,G5EF33,Q98931,Q9R097,Q99087,O43278,P98155,P20063,Q924X6,P98156,P98166,P98165,Q14114
159,SEQ_BC80A23CA0CE,R0048_avimer_SEQ_BC80A23CA0CE|avimer|,R0048_avimer_SEQ_BC80A23CA0CE|avimer|,20,Q5T700,0.33696319487981796,low,Q21629,E3LYX0,E2AX35,P85831,Q5SZI1,P18208,P98155,P98165,P98166,P98156,Q98931,P35953,P20063,Q9VER6,Q924X6,P35950,Q99087,Q14114,P35951
160,SEQ_13F806737871,R0049_avimer_SEQ_13F806737871|avimer|,R0049_avimer_SEQ_13F806737871|avimer|,20,Q5T700,0.30667406449812873,low,Q5SZI1,E3LYX0,Q21629,P85831,E2AX35,Q98931,P98155,Q924X6,P98166,P98165,P98156,P20063,P35953,Q14114,Q99087,P35951,Q9VER6,P35950,Q28832
161,SEQ_F7A0E98B82A1,R0050_avimer_SEQ_F7A0E98B82A1|avimer|,R0050_avimer_SEQ_F7A0E98B82A1|avimer|,20,Q5T700,0.2994510984577179,unsupported,E3LYX0,Q5SZI1,Q21629,Q98931,P85831,P98155,E2AX35,P98166,P98156,P98165,P35953,P20063,Q99087,Q924X6,Q14114,P35951,P35950,Q28832,Q99088
162,SEQ_5D73FCF6A7E9,R0051_kunitz_SEQ_5D73FCF6A7E9|kunitz|Tissue-Factor Pathway Inhibitor (TFPI),R0051_kunitz_SEQ_5D73FCF6A7E9|kunitz|Tissue-Factor_Pathway_Inhibitor_TFPI,20,Q9TWF9,0.9972000122070312,high,P20229,A0A1Z0YU59,Q9TWG0,Q9TWF8,P00984,P24541,Q7LZE3,P81548,P0DKL8,P25660,P10280,P16044,P0DMJ3,P0DMJ4,P81547,P0DMJ2,P00994,P86862,P26228
169,SEQ_8C79DE346C2A,R0052_knottin_SEQ_8C79DE346C2A|knottin|Mu-cyrtautoxin-As1a,R0052_knottin_SEQ_8C79DE346C2A|knottin|Mu-cyrtautoxin-As1a,20,P49268,1.0,high,P60977,P0CH59,P61232,B3EWN3,P84780,P61790,P61789,P84779,P0CI04,P84781,P83996,P0DQJ6,P58606,C0HLV1,P0DM14,P83557,P86418,P31328,P83745
170,SEQ_7E4F2FFC3DE2,R0053_kunitz_SEQ_7E4F2FFC3DE2|kunitz|Zkun11,R0053_kunitz_SEQ_7E4F2FFC3DE2|kunitz|Zkun11,20,P0DJ49,0.9958000183105469,high,P25660,P81548,P0DMJ3,Q9TWF8,Q9TWG0,Q9TWF9,P20229,P0DMJ4,P86862,P81906,P81547,P00984,Q7LZE3,P19859,A0A1Z0YU59,P10280,P0DMJ2,P26228,P00994
171,SEQ_F2D673CE647E,R0054_avimer_SEQ_F2D673CE647E|avimer|,R0054_avimer_SEQ_F2D673CE647E|avimer|,20,Q5T700,0.3454920850558807,low,E3LYX0,Q21629,E2AX35,P85831,P18208,P98155,P98165,Q98931,P98166,P98156,P35953,Q5SZI1,Q9VER6,P20063,Q99087,Q924X6,P35951,P35950,P01131
172,SEQ_8E067D0580FD,R0055_avimer_SEQ_8E067D0580FD|avimer|,R0055_avimer_SEQ_8E067D0580FD|avimer|,20,Q5T700,0.34292939340171813,low,Q5SZI1,P85831,E2AX35,Q21629,E3LYX0,P18208,G5EF33,Q9VER6,Q98931,P98165,P98155,Q924X6,P20063,Q9R097,P98166,P98156,Q14114,O43278,P35953
173,SEQ_F0EEBDB0EE90,R0056_avimer_SEQ_F0EEBDB0EE90|avimer|,R0056_avimer_SEQ_F0EEBDB0EE90|avimer|,20,Q5T700,0.36743337161685474,low,E3LYX0,Q21629,P85831,E2AX35,Q5SZI1,P18208,Q9VER6,P98165,P98155,Q98931,P98166,P98156,P20063,P35953,G5EF33,Q9R097,Q924X6,Q99087,P46023
174,SEQ_D1CE361C5FB7,R0057_cyclotide_SEQ_D1CE361C5FB7|cyclotide|MCoTI-II,R0057_cyclotide_SEQ_D1CE361C5FB7|cyclotide|MCoTI-II,3,P83998,0.3507476814873982,low,P01076,P14903,,,,,,,,,,,,,,,,,
177,SEQ_22F9ADACD27E,R0058_cyclotide_SEQ_22F9ADACD27E|cyclotide|MCoTI-II,R0058_cyclotide_SEQ_22F9ADACD27E|cyclotide|MCoTI-II,3,P83998,0.34464541986844566,low,P01076,P14903,,,,,,,,,,,,,,,,,
178,SEQ_8A6E06C54895,R0059_cyclotide_SEQ_8A6E06C54895|cyclotide|MCoTI-II,R0059_cyclotide_SEQ_8A6E06C54895|cyclotide|MCoTI-II,3,P83998,0.38560641073425295,low,P01076,P14903,,,,,,,,,,,,,,,,,
179,SEQ_3371734A63D5,R0060_cyclotide_SEQ_3371734A63D5|cyclotide|MCoTI-II,R0060_cyclotide_SEQ_3371734A63D5|cyclotide|MCoTI-II,3,P83998,0.37130559695901866,low,P01076,P14903,,,,,,,,,,,,,,,,,
182,SEQ_D3EB9DBFF112,R0061_avimer_SEQ_D3EB9DBFF112|avimer|,R0061_avimer_SEQ_D3EB9DBFF112|avimer|,20,Q5T700,0.36057609294594783,low,Q5SZI1,E3LYX0,Q21629,P85831,E2AX35,P18208,Q98931,P20063,P98165,Q924X6,P98155,Q14114,G5EF33,O43278,Q9VER6,P98156,P98166,Q9R097,P35953
183,SEQ_8D785B1C8F1B,R0062_avimer_SEQ_8D785B1C8F1B|avimer|,R0062_avimer_SEQ_8D785B1C8F1B|avimer|,20,Q5T700,0.3313128016910074,low,E3LYX0,P85831,Q21629,E2AX35,Q5SZI1,P18208,P98165,P98155,Q98931,P98166,P98156,P35953,P20063,Q924X6,P35950,P35951,Q14114,P01131,Q28832
184,SEQ_74E901BF18D9,R0063_avimer_SEQ_74E901BF18D9|avimer|,R0063_avimer_SEQ_74E901BF18D9|avimer|,20,Q5T700,0.25710256773990636,unsupported,E3LYX0,Q5SZI1,Q98931,Q99087,Q21629,P98155,P98156,P98166,P35953,P98165,P20063,P35952,Q924X6,Q9VER6,Q14114,P35951,Q99088,Q28832,P35950
185,SEQ_AA285EA55B48,R0064_knottin_SEQ_AA285EA55B48|knottin|,R0064_knottin_SEQ_AA285EA55B48|knottin|,3,P83998,0.38321970300941466,low,P01076,P14903,,,,,,,,,,,,,,,,,
