protein_row_id,structure_unique_sequence_id,EcoliExpr_screen_input_id,EcoliExpr_screen_row_index,EcoliExpr_screen_track,EcoliExpr_soluprot_score,EcoliExpr_netsolp_solubility,EcoliExpr_netsolp_usability,EcoliExpr_rp3net_score,EcoliExpr_ensemble_score,EcoliExpr_engineering_required,EcoliExpr_out_of_domain,EcoliExpr_recommended_ecoli_route,EcoliExpr_candidate_bucket,EcoliExpr_screening_note,EcoliExpr_track_reason,EcoliExpr_score_components_available,EcoliExpr_priority_rank_within_track,EcoliExpr_priority_rank_within_scaffold,EcoliExpr_ensemble_score_weight_sum,EcoliExpr_netsolp_tool_score,EcoliExpr_confidence_score_0_100,EcoliExpr_confidence_tier,EcoliExpr_tool_score_spread
21,SEQ_5BA4BA9AC119,SCR1014_SEQ_5BA4BA9AC119,1014,Track B,0.349,0.6165,0.2391,0.0639082193374633,0.4189,True,False,oxidative/periplasm/fusion-tag-first,not_selected_in_track,Engineering route kept on purpose; do not reject low-score disulfide-rich hits.,disulfide_rich_or_knottin_kunitz,3,603.0,285,1.0,0.5004,67,Medium,0.4365
22,SEQ_2F80E7E35E67,SCR1015_SEQ_2F80E7E35E67,1015,Track B,0.4224,0.7047,0.3725,0.7832773923873901,0.5755,True,False,oxidative/periplasm/fusion-tag-first,track_b_top30pct,Engineering route kept on purpose; do not reject low-score disulfide-rich hits.,disulfide_rich_or_knottin_kunitz,3,182.0,105,1.0,0.6025,70,Medium,0.3609
23,SEQ_106AEB902735,SCR1016_SEQ_106AEB902735,1016,Track C,0.8332,0.601,0.2932,0.0208615977317094,0.5395,False,True,manual redesign required,out_of_domain,Out-of-domain for generic E. coli solubility models; prefer precursor/construct-level redesign.,cyclotide_or_ptm_dependent_or_extreme_short,3,,163,1.0,0.5063,53,Low,0.8123
25,SEQ_A43C840E3CE9,SCR0004_SEQ_A43C840E3CE9,4,Track B,0.7208,0.6617,0.333,0.0229516178369522,0.5469,True,False,oxidative/periplasm/fusion-tag-first,not_selected_in_track,Engineering route kept on purpose; do not reject low-score disulfide-rich hits. Annotated signal peptide present. Annotated disulfide bonds present.,disulfide_rich_or_knottin_kunitz,3,280.0,149,1.0,0.5606,57,Medium,0.6978
26,SEQ_3F76778C90DE,SCR0005_SEQ_3F76778C90DE,5,Track B,0.2769,0.6541,0.3425,0.0261532310396432,0.4347,True,False,oxidative/periplasm/fusion-tag-first,not_selected_in_track,Engineering route kept on purpose; do not reject low-score disulfide-rich hits.,disulfide_rich_or_knottin_kunitz,3,587.0,151,1.0,0.5582,63,Medium,0.5321
27,SEQ_9A8534BCF2D3,SCR1017_SEQ_9A8534BCF2D3,1017,Track B,0.4079,0.7099,0.3596,0.551727831363678,0.5485,True,False,oxidative/periplasm/fusion-tag-first,not_selected_in_track,Engineering route kept on purpose; do not reject low-score disulfide-rich hits.,disulfide_rich_or_knottin_kunitz,3,274.0,148,1.0,0.6021,75,High,0.1942
28,SEQ_61624A109773,SCR1018_SEQ_61624A109773,1018,Track A,0.7787,0.9061,0.71,0.4269344508647918,0.7871,False,False,cytoplasm-first,track_a_top25pct,No major expression red flags beyond baseline sequence properties.,default_linear_ecoli_first,3,29.0,5,1.0,0.8458,74,Medium,0.4188
30,SEQ_D8540B103774,SCR1019_SEQ_D8540B103774,1019,Track C,0.6783,0.6786,0.3686,0.0191919356584548,0.5506,False,True,manual redesign required,out_of_domain,Out-of-domain for generic E. coli solubility models; prefer precursor/construct-level redesign.,cyclotide_or_ptm_dependent_or_extreme_short,3,,129,1.0,0.5832,58,Medium,0.6591
32,SEQ_511ADDD935FC,SCR1020_SEQ_511ADDD935FC,1020,Track C,0.5329,0.6327,0.2767,0.004025662317872,0.4737,False,True,manual redesign required,out_of_domain,Out-of-domain for generic E. coli solubility models; prefer precursor/construct-level redesign.,cyclotide_or_ptm_dependent_or_extreme_short,3,,289,1.0,0.5232,62,Medium,0.5289
33,SEQ_7A8E8DE0DA68,SCR1021_SEQ_7A8E8DE0DA68,1021,Track B,0.3293,0.7195,0.3978,0.5641987919807434,0.5421,True,False,oxidative/periplasm/fusion-tag-first,not_selected_in_track,Engineering route kept on purpose; do not reject low-score disulfide-rich hits.,disulfide_rich_or_knottin_kunitz,3,291.0,155,1.0,0.6205,71,Medium,0.2912
34,SEQ_73A7CFDF5D70,SCR0006_SEQ_73A7CFDF5D70,6,Track B,0.713,0.5899,0.3508,0.0097326152026653,0.5148,True,False,oxidative/periplasm/fusion-tag-first,not_selected_in_track,Engineering route kept on purpose; do not reject low-score disulfide-rich hits.,disulfide_rich_or_knottin_kunitz,3,390.0,195,1.0,0.5163,56,Medium,0.7033
35,SEQ_9B361E35BEAA,SCR1022_SEQ_9B361E35BEAA,1022,Track A,0.9347,0.8474,0.4025,0.930934488773346,0.7886,False,False,cytoplasm-first,track_a_top25pct,No major expression red flags beyond baseline sequence properties.,default_linear_ecoli_first,3,27.0,4,1.0,0.7105,81,High,0.2242
36,SEQ_36F7C4C45265,SCR0007_SEQ_36F7C4C45265,7,Track B,,0.3106,0.2385,0.0047184340655803,0.2506,True,False,oxidative/periplasm/fusion-tag-first,not_selected_in_track,Only partial model coverage is available; interpret ranking conservatively. Engineering route kept on purpose; do not reject low-score disulfide-rich hits.,disulfide_rich_or_knottin_kunitz,2,667.0,310,0.75,0.2884,63,Medium,0.2837
38,SEQ_436111C795BC,SCR0008_SEQ_436111C795BC,8,Track B,0.5278,0.7341,0.3802,0.9129270315170288,0.6296,True,False,oxidative/periplasm/fusion-tag-first,track_b_top30pct,Engineering route kept on purpose; do not reject low-score disulfide-rich hits. Annotated disulfide bonds present.,disulfide_rich_or_knottin_kunitz,3,69.0,50,1.0,0.6252,70,Medium,0.3851
39,SEQ_8B89389E2AF1,SCR1023_SEQ_8B89389E2AF1,1023,Track C,0.793,0.602,0.2872,0.0198841150850057,0.5286,False,True,manual redesign required,out_of_domain,Out-of-domain for generic E. coli solubility models; prefer precursor/construct-level redesign.,cyclotide_or_ptm_dependent_or_extreme_short,3,,196,1.0,0.5051,54,Low,0.7731
41,SEQ_6610DD59B18B,SCR0009_SEQ_6610DD59B18B,9,Track C,0.685,0.6378,0.3135,0.0229402054101228,0.5233,False,True,manual redesign required,out_of_domain,Out-of-domain for generic E. coli solubility models; prefer precursor/construct-level redesign.,cyclotide_or_ptm_dependent_or_extreme_short,3,,208,1.0,0.538,58,Medium,0.6621
42,SEQ_1D1EBCBDE4B7,SCR0010_SEQ_1D1EBCBDE4B7,10,Track B,0.9441,0.6748,0.2802,0.7847136855125427,0.6742,True,False,oxidative/periplasm/fusion-tag-first,track_b_top30pct,Engineering route kept on purpose; do not reject low-score disulfide-rich hits. Annotated disulfide bonds present.,disulfide_rich_or_knottin_kunitz,3,25.0,19,1.0,0.5534,72,Medium,0.3907
43,SEQ_933FD01A8873,SCR0011_SEQ_933FD01A8873,11,Track B,0.5874,0.6932,0.3681,0.4198096394538879,0.5744,True,False,oxidative/periplasm/fusion-tag-first,track_b_top30pct,Engineering route kept on purpose; do not reject low-score disulfide-rich hits.,disulfide_rich_or_knottin_kunitz,3,189.0,109,1.0,0.5932,76,High,0.1734
44,SEQ_7365FCEB55B0,SCR1024_SEQ_7365FCEB55B0,1024,Track C,0.4285,0.6917,0.2791,0.0159369185566902,0.4758,False,True,manual redesign required,out_of_domain,Out-of-domain for generic E. coli solubility models; prefer precursor/construct-level redesign.,cyclotide_or_ptm_dependent_or_extreme_short,3,,284,1.0,0.5647,62,Medium,0.5488
45,SEQ_C75BBBBCCFCC,SCR0012_SEQ_C75BBBBCCFCC,12,Track B,0.6216,0.6015,0.181,0.1669252812862396,0.479,True,False,oxidative/periplasm/fusion-tag-first,not_selected_in_track,Engineering route kept on purpose; do not reject low-score disulfide-rich hits.,disulfide_rich_or_knottin_kunitz,3,482.0,246,1.0,0.4721,65,Medium,0.4547
46,SEQ_A03B5F987EAF,SCR0013_SEQ_A03B5F987EAF,13,Track A,,0.7777,0.3596,0.0697641223669052,0.5718,False,False,cytoplasm-first,not_selected_in_track,Only partial model coverage is available; interpret ranking conservatively.,default_linear_ecoli_first,2,380.0,155,0.75,0.6491,47,Low,0.5793
47,SEQ_15BAF787CC9B,SCR1025_SEQ_15BAF787CC9B,1025,Track B,0.7143,0.4885,0.3059,0.0032096104696393,0.4599,True,False,oxidative/periplasm/fusion-tag-first,not_selected_in_track,Engineering route kept on purpose; do not reject low-score disulfide-rich hits.,disulfide_rich_or_knottin_kunitz,3,524.0,4,1.0,0.4323,56,Medium,0.7111
48,SEQ_1927D5670A85,SCR1026_SEQ_1927D5670A85,1026,Track B,0.7638,0.4895,0.3075,0.0034310675691813,0.4731,True,False,oxidative/periplasm/fusion-tag-first,not_selected_in_track,Engineering route kept on purpose; do not reject low-score disulfide-rich hits.,disulfide_rich_or_knottin_kunitz,3,492.0,3,1.0,0.4335,54,Low,0.7604
49,SEQ_D98E6C6DD7C4,SCR1027_SEQ_D98E6C6DD7C4,1027,Track B,0.7613,0.5052,0.3203,0.0031795699615031,0.482,True,False,oxidative/periplasm/fusion-tag-first,not_selected_in_track,Engineering route kept on purpose; do not reject low-score disulfide-rich hits.,disulfide_rich_or_knottin_kunitz,3,476.0,2,1.0,0.4483,54,Low,0.7581
51,SEQ_933D60060365,SCR0014_SEQ_933D60060365,14,Track B,0.776,0.6608,0.3113,0.7343852519989014,0.6271,True,False,oxidative/periplasm/fusion-tag-first,track_b_top30pct,Engineering route kept on purpose; do not reject low-score disulfide-rich hits.,disulfide_rich_or_knottin_kunitz,3,72.0,8,1.0,0.5533,76,High,0.2227
52,SEQ_8A54730D2790,SCR1028_SEQ_8A54730D2790,1028,Track C,0.4652,0.5571,0.2557,0.0024841569829732,0.4184,False,True,manual redesign required,out_of_domain,Out-of-domain for generic E. coli solubility models; prefer precursor/construct-level redesign.,cyclotide_or_ptm_dependent_or_extreme_short,3,,345,1.0,0.4644,66,Medium,0.4627
54,SEQ_7F8DF41047F3,SCR0015_SEQ_7F8DF41047F3,15,Track B,0.7316,0.574,0.3525,0.0197880994528532,0.5137,True,False,oxidative/periplasm/fusion-tag-first,not_selected_in_track,Engineering route kept on purpose; do not reject low-score disulfide-rich hits.,disulfide_rich_or_knottin_kunitz,3,393.0,196,1.0,0.5058,55,Medium,0.7118
55,SEQ_29E215C98F08,SCR0016_SEQ_29E215C98F08,16,Track B,0.7738,0.6078,0.3414,0.0292365401983261,0.5382,True,False,oxidative/periplasm/fusion-tag-first,not_selected_in_track,Engineering route kept on purpose; do not reject low-score disulfide-rich hits.,disulfide_rich_or_knottin_kunitz,3,303.0,159,1.0,0.5258,55,Medium,0.7446
56,SEQ_5BF65E9A402F,SCR0017_SEQ_5BF65E9A402F,17,Track B,0.6899,0.5942,0.3365,0.0127711463719606,0.5084,True,False,oxidative/periplasm/fusion-tag-first,not_selected_in_track,Engineering route kept on purpose; do not reject low-score disulfide-rich hits.,disulfide_rich_or_knottin_kunitz,3,404.0,203,1.0,0.5149,57,Medium,0.6771
57,SEQ_8AC3A24C5F40,SCR0018_SEQ_8AC3A24C5F40,18,Track B,0.7322,0.5914,0.3283,0.0171808134764432,0.5166,True,False,oxidative/periplasm/fusion-tag-first,not_selected_in_track,Engineering route kept on purpose; do not reject low-score disulfide-rich hits.,disulfide_rich_or_knottin_kunitz,3,386.0,193,1.0,0.5104,55,Medium,0.715
58,SEQ_6C3FAB49E6B7,SCR1029_SEQ_6C3FAB49E6B7,1029,Track C,0.774,0.6217,0.3177,0.0090492758899927,0.5377,False,True,manual redesign required,out_of_domain,Out-of-domain for generic E. coli solubility models; prefer precursor/construct-level redesign.,cyclotide_or_ptm_dependent_or_extreme_short,3,,168,1.0,0.5282,54,Low,0.765
59,SEQ_8964A1584BCB,SCR1030_SEQ_8964A1584BCB,1030,Track C,0.1158,0.6415,0.3704,0.0408837683498859,0.3958,False,True,manual redesign required,out_of_domain,Out-of-domain for generic E. coli solubility models; prefer precursor/construct-level redesign.,cyclotide_or_ptm_dependent_or_extreme_short,3,,366,1.0,0.5581,65,Medium,0.5172
61,SEQ_D70C587A68A7,SCR1031_SEQ_D70C587A68A7,1031,Track A,0.9675,0.7327,0.4183,0.9588037133216858,0.7511,False,False,cytoplasm-first,track_a_top25pct,No major expression red flags beyond baseline sequence properties.,default_linear_ecoli_first,3,52.0,25,1.0,0.636,76,High,0.3315
62,SEQ_1F68BF7AB035,SCR0019_SEQ_1F68BF7AB035,19,Track A,0.9667,0.7545,0.4395,0.965845227241516,0.7657,False,False,cytoplasm-first,track_a_top25pct,Tag context available: His-tag (C-term).,default_linear_ecoli_first,3,46.0,22,1.0,0.6576,77,High,0.3091
63,SEQ_A287FD1D544D,SCR1032_SEQ_A287FD1D544D,1032,Track C,0.8656,0.7268,0.3423,0.0124408807605504,0.6132,False,True,manual redesign required,out_of_domain,Out-of-domain for generic E. coli solubility models; prefer precursor/construct-level redesign.,cyclotide_or_ptm_dependent_or_extreme_short,3,,54,1.0,0.6085,54,Low,0.8532
64,SEQ_96049DD523A6,SCR1033_SEQ_96049DD523A6,1033,Track B,0.1666,0.6214,0.2469,0.0120134837925434,0.3719,True,False,oxidative/periplasm/fusion-tag-first,not_selected_in_track,Engineering route kept on purpose; do not reject low-score disulfide-rich hits.,disulfide_rich_or_knottin_kunitz,3,640.0,300,1.0,0.5062,67,Medium,0.4942
65,SEQ_6A4842FF9F08,SCR1034_SEQ_6A4842FF9F08,1034,Track C,0.158,0.6102,0.2648,0.0029823114164173,0.3673,False,True,manual redesign required,out_of_domain,Out-of-domain for generic E. coli solubility models; prefer precursor/construct-level redesign.,cyclotide_or_ptm_dependent_or_extreme_short,3,,386,1.0,0.5039,66,Medium,0.5009
66,SEQ_179E93B2447B,SCR1035_SEQ_179E93B2447B,1035,Track C,0.8042,0.6777,0.3227,0.100972905755043,0.5807,False,True,manual redesign required,out_of_domain,Out-of-domain for generic E. coli solubility models; prefer precursor/construct-level redesign.,cyclotide_or_ptm_dependent_or_extreme_short,3,,82,1.0,0.5685,58,Medium,0.7032
67,SEQ_BC873C27CAD8,SCR1036_SEQ_BC873C27CAD8,1036,Track C,0.5184,0.6858,0.3754,0.2651894986629486,0.5398,False,True,manual redesign required,out_of_domain,Out-of-domain for generic E. coli solubility models; prefer precursor/construct-level redesign.,cyclotide_or_ptm_dependent_or_extreme_short,3,,160,1.0,0.5903,70,Medium,0.3251
68,SEQ_166A0BDB74D3,SCR1037_SEQ_166A0BDB74D3,1037,Track C,0.9358,0.7169,0.3412,0.5089440941810608,0.6757,False,True,manual redesign required,out_of_domain,Out-of-domain for generic E. coli solubility models; prefer precursor/construct-level redesign.,cyclotide_or_ptm_dependent_or_extreme_short,3,,14,1.0,0.6013,70,Medium,0.4269
69,SEQ_83102DDE915E,SCR1038_SEQ_83102DDE915E,1038,Track C,0.8689,0.6179,0.3363,0.0031458314042538,0.5629,False,True,manual redesign required,out_of_domain,Out-of-domain for generic E. coli solubility models; prefer precursor/construct-level redesign.,cyclotide_or_ptm_dependent_or_extreme_short,3,,109,1.0,0.5313,52,Low,0.8658
72,SEQ_114EBD6F4E53,SCR1039_SEQ_114EBD6F4E53,1039,Track A,0.8972,0.7545,0.4488,0.9157409071922302,0.7452,False,False,cytoplasm-first,track_a_top25pct,No major expression red flags beyond baseline sequence properties.,default_linear_ecoli_first,3,57.0,26,1.0,0.6604,78,High,0.2553
73,SEQ_7E02C8407329,SCR1040_SEQ_7E02C8407329,1040,Track A,0.9251,0.7965,0.4606,0.9327205419540404,0.7751,False,False,cytoplasm-first,track_a_top25pct,No major expression red flags beyond baseline sequence properties.,default_linear_ecoli_first,3,38.0,18,1.0,0.6931,80,High,0.2396
74,SEQ_0D1ADFCB7D8F,SCR1041_SEQ_0D1ADFCB7D8F,1041,Track A,0.8988,0.793,0.4548,0.9428386688232422,0.7668,False,False,cytoplasm-first,track_a_top25pct,No major expression red flags beyond baseline sequence properties.,default_linear_ecoli_first,3,43.0,21,1.0,0.6889,79,High,0.2539
76,SEQ_83445B4F74AB,SCR0020_SEQ_83445B4F74AB,20,Track A,0.8044,0.8152,0.405,0.825058102607727,0.7314,False,False,cytoplasm-first,track_a_top25pct,No major expression red flags beyond baseline sequence properties.,default_linear_ecoli_first,3,62.0,2,1.0,0.689,82,High,0.1361
77,SEQ_533D1CE60FB9,SCR0021_SEQ_533D1CE60FB9,21,Track B,,0.6923,0.3464,0.0928167402744293,0.5201,True,False,oxidative/periplasm/fusion-tag-first,not_selected_in_track,Only partial model coverage is available; interpret ranking conservatively. Engineering route kept on purpose; do not reject low-score disulfide-rich hits.,disulfide_rich_or_knottin_kunitz,2,372.0,86,0.75,0.5859,48,Low,0.4931
78,SEQ_8FC3ECF6130A,SCR0022_SEQ_8FC3ECF6130A,22,Track B,0.2814,0.6194,0.2988,0.0029848050326108,0.4091,True,False,oxidative/periplasm/fusion-tag-first,not_selected_in_track,Engineering route kept on purpose; do not reject low-score disulfide-rich hits.,disulfide_rich_or_knottin_kunitz,3,617.0,158,1.0,0.5208,65,Medium,0.5178
79,SEQ_B1599713AE24,SCR0023_SEQ_B1599713AE24,23,Track B,0.963,0.3325,0.3277,0.1152456924319267,0.4674,True,False,oxidative/periplasm/fusion-tag-first,not_selected_in_track,Engineering route kept on purpose; do not reject low-score disulfide-rich hits.,disulfide_rich_or_knottin_kunitz,3,501.0,31,1.0,0.331,51,Low,0.8478
80,SEQ_6A43FD5EA9DC,SCR1042_SEQ_6A43FD5EA9DC,1042,Track C,0.1991,0.6214,0.3648,0.0263167340308427,0.405,False,True,manual redesign required,out_of_domain,Out-of-domain for generic E. coli solubility models; prefer precursor/construct-level redesign.,cyclotide_or_ptm_dependent_or_extreme_short,3,,361,1.0,0.5424,65,Medium,0.5161
81,SEQ_6BE0EFC66E2B,SCR1043_SEQ_6BE0EFC66E2B,1043,Track C,0.5778,0.6305,0.2959,0.0308421403169631,0.4904,False,True,manual redesign required,out_of_domain,Out-of-domain for generic E. coli solubility models; prefer precursor/construct-level redesign.,cyclotide_or_ptm_dependent_or_extreme_short,3,,260,1.0,0.5275,61,Medium,0.547
82,SEQ_AAEDAA0FEEDB,SCR1044_SEQ_AAEDAA0FEEDB,1044,Track C,0.0389,0.6791,0.2614,0.0196292661130428,0.3696,False,True,manual redesign required,out_of_domain,Out-of-domain for generic E. coli solubility models; prefer precursor/construct-level redesign.,cyclotide_or_ptm_dependent_or_extreme_short,3,,385,1.0,0.5506,65,Medium,0.5309
84,SEQ_AF30ABE91422,SCR1045_SEQ_AF30ABE91422,1045,Track A,0.9373,0.5679,0.3213,0.0169890373945236,0.5558,False,False,cytoplasm-first,not_selected_in_track,No major expression red flags beyond baseline sequence properties.,default_linear_ecoli_first,3,476.0,169,1.0,0.492,49,Low,0.9203
85,SEQ_60892EF90140,SCR0024_SEQ_60892EF90140,24,Track A,,0.8249,0.3664,0.1839447766542434,0.6172,False,False,cytoplasm-first,track_a_top25pct,Only partial model coverage is available; interpret ranking conservatively.,default_linear_ecoli_first,2,168.0,69,0.75,0.6838,51,Low,0.4999
87,SEQ_34669548F14A,SCR1046_SEQ_34669548F14A,1046,Track B,0.7369,0.3872,0.151,0.0038373928982764,0.389,True,False,oxidative/periplasm/fusion-tag-first,not_selected_in_track,Engineering route kept on purpose; do not reject low-score disulfide-rich hits.,disulfide_rich_or_knottin_kunitz,3,634.0,297,1.0,0.3145,58,Medium,0.7331
88,SEQ_7177C9A563D3,SCR0025_SEQ_7177C9A563D3,25,Track B,0.5044,0.6424,0.3384,0.0166653674095869,0.4845,True,False,oxidative/periplasm/fusion-tag-first,not_selected_in_track,Engineering route kept on purpose; do not reject low-score disulfide-rich hits.,disulfide_rich_or_knottin_kunitz,3,472.0,108,1.0,0.5489,62,Medium,0.5322
89,SEQ_BBC5CC71FA91,SCR0026_SEQ_BBC5CC71FA91,26,Track B,0.3748,0.6825,0.3508,0.266284316778183,0.4976,True,False,oxidative/periplasm/fusion-tag-first,not_selected_in_track,Engineering route kept on purpose; do not reject low-score disulfide-rich hits. Annotated disulfide bonds present.,disulfide_rich_or_knottin_kunitz,3,437.0,220,1.0,0.5804,69,Medium,0.3142
90,SEQ_B78F75B84A68,SCR1047_SEQ_B78F75B84A68,1047,Track B,0.4323,0.6721,0.3465,0.2728178203105926,0.5071,True,False,oxidative/periplasm/fusion-tag-first,not_selected_in_track,Engineering route kept on purpose; do not reject low-score disulfide-rich hits.,disulfide_rich_or_knottin_kunitz,3,408.0,206,1.0,0.5719,70,Medium,0.2991
93,SEQ_9033148A984A,SCR1048_SEQ_9033148A984A,1048,Track C,0.0827,0.6302,0.3005,0.0065073235891759,0.365,False,True,manual redesign required,out_of_domain,Out-of-domain for generic E. coli solubility models; prefer precursor/construct-level redesign.,cyclotide_or_ptm_dependent_or_extreme_short,3,,388,1.0,0.5288,66,Medium,0.5222
94,SEQ_0FE34D351A8A,SCR1049_SEQ_0FE34D351A8A,1049,Track B,0.7757,0.6187,0.3328,0.2027909010648727,0.5592,True,False,oxidative/periplasm/fusion-tag-first,not_selected_in_track,Engineering route kept on purpose; do not reject low-score disulfide-rich hits.,disulfide_rich_or_knottin_kunitz,3,241.0,133,1.0,0.5307,62,Medium,0.5729
95,SEQ_9D030F6E19A4,SCR1050_SEQ_9D030F6E19A4,1050,Track B,0.8357,0.7066,0.3594,0.3225570619106293,0.631,True,False,oxidative/periplasm/fusion-tag-first,track_b_top30pct,Engineering route kept on purpose; do not reject low-score disulfide-rich hits.,disulfide_rich_or_knottin_kunitz,3,65.0,47,1.0,0.5998,66,Medium,0.5131
96,SEQ_68A6E3BEB1DB,SCR1051_SEQ_68A6E3BEB1DB,1051,Track C,0.5585,0.6347,0.3522,0.3555369675159454,0.5312,False,True,manual redesign required,out_of_domain,Out-of-domain for generic E. coli solubility models; prefer precursor/construct-level redesign.,cyclotide_or_ptm_dependent_or_extreme_short,3,,189,1.0,0.5478,74,Medium,0.203
97,SEQ_E7EE2D96D382,SCR1052_SEQ_E7EE2D96D382,1052,Track C,0.1685,0.534,0.2981,0.0873658806085586,0.3508,False,True,manual redesign required,out_of_domain,Out-of-domain for generic E. coli solubility models; prefer precursor/construct-level redesign.,cyclotide_or_ptm_dependent_or_extreme_short,3,,393,1.0,0.4614,71,Medium,0.374
98,SEQ_A7F6DEA711DD,SCR1053_SEQ_A7F6DEA711DD,1053,Track B,0.8145,0.611,0.1802,0.0212691016495227,0.5167,True,False,oxidative/periplasm/fusion-tag-first,not_selected_in_track,Engineering route kept on purpose; do not reject low-score disulfide-rich hits.,disulfide_rich_or_knottin_kunitz,3,383.0,192,1.0,0.4784,53,Low,0.7932
99,SEQ_A25A44A56E98,SCR0027_SEQ_A25A44A56E98,27,Track B,0.924,0.626,0.3486,0.0110590318217873,0.5835,True,False,oxidative/periplasm/fusion-tag-first,track_b_top30pct,Engineering route kept on purpose; do not reject low-score disulfide-rich hits.,disulfide_rich_or_knottin_kunitz,3,156.0,29,1.0,0.5406,51,Low,0.9129
101,SEQ_3F4ACE0F456C,SCR1054_SEQ_3F4ACE0F456C,1054,Track B,0.7063,0.491,0.3585,0.8356142044067383,0.5528,True,False,oxidative/periplasm/fusion-tag-first,not_selected_in_track,Engineering route kept on purpose; do not reject low-score disulfide-rich hits.,disulfide_rich_or_knottin_kunitz,3,264.0,7,1.0,0.4502,68,Medium,0.3854
