row_index,protein_label,scaffold,canonical_name,selected_structure_type,selected_structure_source_path,selected_structure_bundle_path,structure_locator,structure_best_available_source
35,R0036_avimer_SEQ_2FF73853C06D,avimer,,local_exact_prediction,<local_path_removed>/SEQ_2FF73853C06D_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_000.pdb,<local_path_removed>/R0036_avimer_SEQ_2FF73853C06D_local_exact_prediction.pdb,,local_exact_sequence_prediction
36,R0037_avimer_SEQ_E7C76458FBAF,avimer,,local_exact_prediction,<local_path_removed>/SEQ_E7C76458FBAF_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_000.pdb,<local_path_removed>/R0037_avimer_SEQ_E7C76458FBAF_local_exact_prediction.pdb,,local_exact_sequence_prediction
37,R0038_knottin_SEQ_EACADB92942A,knottin,Vascular Endothelial Growth Factor,PDB_exact,<local_path_removed>/SEQ_EACADB92942A_1MJV_full.pdb,<local_path_removed>/R0038_knottin_SEQ_EACADB92942A_PDB_exact.pdb,1MJV_A:26-104,PDB_exact_experimental_located
38,R0039_avimer_SEQ_691D75937138,avimer,,local_exact_prediction,<local_path_removed>/SEQ_691D75937138_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_000.pdb,<local_path_removed>/R0039_avimer_SEQ_691D75937138_local_exact_prediction.pdb,,local_exact_sequence_prediction
39,R0040_knottin_SEQ_40765E68011F,knottin,ALO3,PDB_exact,<local_path_removed>/SEQ_40765E68011F_1Q3J_full.pdb,<local_path_removed>/R0040_knottin_SEQ_40765E68011F_PDB_exact.pdb,1Q3J_A,PDB_exact_experimental_located
40,R0041_knottin_SEQ_E6EC5F9661A0,knottin,Specific abundant protein 3,PDB_exact,<local_path_removed>/SEQ_E6EC5F9661A0_2ML7_full.pdb,<local_path_removed>/R0041_knottin_SEQ_E6EC5F9661A0_PDB_exact.pdb,2ML7_A,PDB_exact_experimental_located
41,R0042_kunitz_SEQ_322A70F6861B,kunitz,hepatocyte growth factor activator inhibitor type-1,local_exact_prediction,<local_path_removed>/SEQ_322A70F6861B_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_000.pdb,<local_path_removed>/R0042_kunitz_SEQ_322A70F6861B_local_exact_prediction.pdb,,local_exact_sequence_prediction
42,R0043_kunitz_SEQ_3ACC7C7C546C,kunitz,TFPI-2,PDB_exact,<local_path_removed>/SEQ_3ACC7C7C546C_1ZR0_chain_D_5_55_slice.pdb,<local_path_removed>/R0043_kunitz_SEQ_3ACC7C7C546C_PDB_exact.pdb,1ZR0_D:5-55,PDB_exact_experimental_located
43,R0044_avimer_SEQ_B4DF3D1780AE,avimer,,local_exact_prediction,<local_path_removed>/SEQ_B4DF3D1780AE_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_000.pdb,<local_path_removed>/R0044_avimer_SEQ_B4DF3D1780AE_local_exact_prediction.pdb,,local_exact_sequence_prediction
44,R0045_avimer_SEQ_935069375D36,avimer,,local_exact_prediction,<local_path_removed>/SEQ_935069375D36_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_000.pdb,<local_path_removed>/R0045_avimer_SEQ_935069375D36_local_exact_prediction.pdb,,local_exact_sequence_prediction
45,R0046_avimer_SEQ_F57CD1C8931E,avimer,,local_exact_prediction,<local_path_removed>/SEQ_F57CD1C8931E_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_000.pdb,<local_path_removed>/R0046_avimer_SEQ_F57CD1C8931E_local_exact_prediction.pdb,,local_exact_sequence_prediction
46,R0047_avimer_SEQ_D57ECD3F9752,avimer,,local_exact_prediction,<local_path_removed>/SEQ_D57ECD3F9752_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_000.pdb,<local_path_removed>/R0047_avimer_SEQ_D57ECD3F9752_local_exact_prediction.pdb,,local_exact_sequence_prediction
47,R0048_avimer_SEQ_BC80A23CA0CE,avimer,,local_exact_prediction,<local_path_removed>/SEQ_BC80A23CA0CE_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_000.pdb,<local_path_removed>/R0048_avimer_SEQ_BC80A23CA0CE_local_exact_prediction.pdb,,local_exact_sequence_prediction
48,R0049_avimer_SEQ_13F806737871,avimer,,local_exact_prediction,<local_path_removed>/SEQ_13F806737871_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_000.pdb,<local_path_removed>/R0049_avimer_SEQ_13F806737871_local_exact_prediction.pdb,,local_exact_sequence_prediction
49,R0050_avimer_SEQ_F7A0E98B82A1,avimer,,local_exact_prediction,<local_path_removed>/SEQ_F7A0E98B82A1_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_000.pdb,<local_path_removed>/R0050_avimer_SEQ_F7A0E98B82A1_local_exact_prediction.pdb,,local_exact_sequence_prediction
50,R0051_kunitz_SEQ_5D73FCF6A7E9,kunitz,Tissue-Factor Pathway Inhibitor (TFPI),PDB_exact,<local_path_removed>/SEQ_5D73FCF6A7E9_1IRH_full.pdb,<local_path_removed>/R0051_kunitz_SEQ_5D73FCF6A7E9_PDB_exact.pdb,1IRH_A:8-58,PDB_exact_experimental_located
51,R0052_knottin_SEQ_8C79DE346C2A,knottin,Mu-cyrtautoxin-As1a,PDB_exact,<local_path_removed>/SEQ_8C79DE346C2A_2M36_full.pdb,<local_path_removed>/R0052_knottin_SEQ_8C79DE346C2A_PDB_exact.pdb,2M36_A,PDB_exact_experimental_located
52,R0053_kunitz_SEQ_7E4F2FFC3DE2,kunitz,Zkun11,local_exact_prediction,<local_path_removed>/SEQ_7E4F2FFC3DE2_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_000.pdb,<local_path_removed>/R0053_kunitz_SEQ_7E4F2FFC3DE2_local_exact_prediction.pdb,,local_exact_sequence_prediction
53,R0054_avimer_SEQ_F2D673CE647E,avimer,,local_exact_prediction,<local_path_removed>/SEQ_F2D673CE647E_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_000.pdb,<local_path_removed>/R0054_avimer_SEQ_F2D673CE647E_local_exact_prediction.pdb,,local_exact_sequence_prediction
54,R0055_avimer_SEQ_8E067D0580FD,avimer,,local_exact_prediction,<local_path_removed>/SEQ_8E067D0580FD_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_000.pdb,<local_path_removed>/R0055_avimer_SEQ_8E067D0580FD_local_exact_prediction.pdb,,local_exact_sequence_prediction
55,R0056_avimer_SEQ_F0EEBDB0EE90,avimer,,local_exact_prediction,<local_path_removed>/SEQ_F0EEBDB0EE90_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_000.pdb,<local_path_removed>/R0056_avimer_SEQ_F0EEBDB0EE90_local_exact_prediction.pdb,,local_exact_sequence_prediction
56,R0057_cyclotide_SEQ_D1CE361C5FB7,cyclotide,MCoTI-II,local_exact_prediction,<local_path_removed>/SEQ_D1CE361C5FB7_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_000.pdb,<local_path_removed>/R0057_cyclotide_SEQ_D1CE361C5FB7_local_exact_prediction.pdb,,local_exact_sequence_prediction
57,R0058_cyclotide_SEQ_22F9ADACD27E,cyclotide,MCoTI-II,local_exact_prediction,<local_path_removed>/SEQ_22F9ADACD27E_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_000.pdb,<local_path_removed>/R0058_cyclotide_SEQ_22F9ADACD27E_local_exact_prediction.pdb,,local_exact_sequence_prediction
58,R0059_cyclotide_SEQ_8A6E06C54895,cyclotide,MCoTI-II,PDB_exact,<local_path_removed>/SEQ_8A6E06C54895_1HA9_full.pdb,<local_path_removed>/R0059_cyclotide_SEQ_8A6E06C54895_PDB_exact.pdb,,PDB_exact_experimental
59,R0060_cyclotide_SEQ_3371734A63D5,cyclotide,MCoTI-II,local_exact_prediction,<local_path_removed>/SEQ_3371734A63D5_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_000.pdb,<local_path_removed>/R0060_cyclotide_SEQ_3371734A63D5_local_exact_prediction.pdb,,local_exact_sequence_prediction
60,R0061_avimer_SEQ_D3EB9DBFF112,avimer,,local_exact_prediction,<local_path_removed>/SEQ_D3EB9DBFF112_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_000.pdb,<local_path_removed>/R0061_avimer_SEQ_D3EB9DBFF112_local_exact_prediction.pdb,,local_exact_sequence_prediction
61,R0062_avimer_SEQ_8D785B1C8F1B,avimer,,local_exact_prediction,<local_path_removed>/SEQ_8D785B1C8F1B_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_000.pdb,<local_path_removed>/R0062_avimer_SEQ_8D785B1C8F1B_local_exact_prediction.pdb,,local_exact_sequence_prediction
62,R0063_avimer_SEQ_74E901BF18D9,avimer,,local_exact_prediction,<local_path_removed>/SEQ_74E901BF18D9_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_000.pdb,<local_path_removed>/R0063_avimer_SEQ_74E901BF18D9_local_exact_prediction.pdb,,local_exact_sequence_prediction
63,R0064_knottin_SEQ_AA285EA55B48,knottin,,PDB_exact,<local_path_removed>/SEQ_AA285EA55B48_6MM4_full.pdb,<local_path_removed>/R0064_knottin_SEQ_AA285EA55B48_PDB_exact.pdb,6MM4_A,PDB_exact_experimental_located
64,R0065_avimer_SEQ_731BBF82664F,avimer,,local_exact_prediction,<local_path_removed>/SEQ_731BBF82664F_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_000.pdb,<local_path_removed>/R0065_avimer_SEQ_731BBF82664F_local_exact_prediction.pdb,,local_exact_sequence_prediction
65,R0066_avimer_SEQ_090E8EBF5A31,avimer,,local_exact_prediction,<local_path_removed>/SEQ_090E8EBF5A31_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_000.pdb,<local_path_removed>/R0066_avimer_SEQ_090E8EBF5A31_local_exact_prediction.pdb,,local_exact_sequence_prediction
66,R0067_avimer_SEQ_C09242DD916F,avimer,,local_exact_prediction,<local_path_removed>/SEQ_C09242DD916F_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_000.pdb,<local_path_removed>/R0067_avimer_SEQ_C09242DD916F_local_exact_prediction.pdb,,local_exact_sequence_prediction
67,R0068_centyrin_SEQ_ACFCA5566055,centyrin,,local_exact_prediction,<local_path_removed>/SEQ_ACFCA5566055_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_000.pdb,<local_path_removed>/R0068_centyrin_SEQ_ACFCA5566055_local_exact_prediction.pdb,,local_exact_sequence_prediction
68,R0069_avimer_SEQ_4B2B95A3BC94,avimer,,local_exact_prediction,<local_path_removed>/SEQ_4B2B95A3BC94_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_000.pdb,<local_path_removed>/R0069_avimer_SEQ_4B2B95A3BC94_local_exact_prediction.pdb,,local_exact_sequence_prediction
69,R0070_knottin_SEQ_F77775A3F819,knottin,Placental Growth Factor,local_exact_prediction,<local_path_removed>/SEQ_F77775A3F819_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_000.pdb,<local_path_removed>/R0070_knottin_SEQ_F77775A3F819_local_exact_prediction.pdb,,local_exact_sequence_prediction
70,R0071_avimer_SEQ_76418B7EE719,avimer,,local_exact_prediction,<local_path_removed>/SEQ_76418B7EE719_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_000.pdb,<local_path_removed>/R0071_avimer_SEQ_76418B7EE719_local_exact_prediction.pdb,,local_exact_sequence_prediction
71,R0072_kunitz_SEQ_20B2B3FA19E6,kunitz,TFPI-2,local_exact_prediction,<local_path_removed>/SEQ_20B2B3FA19E6_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_000.pdb,<local_path_removed>/R0072_kunitz_SEQ_20B2B3FA19E6_local_exact_prediction.pdb,,local_exact_sequence_prediction
72,R0073_kunitz_SEQ_8AC7BEA8C12F,kunitz,TFPI-2,local_exact_prediction,<local_path_removed>/SEQ_8AC7BEA8C12F_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_000.pdb,<local_path_removed>/R0073_kunitz_SEQ_8AC7BEA8C12F_local_exact_prediction.pdb,,local_exact_sequence_prediction
73,R0074_knottin_SEQ_7FF8A21A22A4,knottin,Vascular Endothelial Growth Factor,local_exact_prediction,<local_path_removed>/SEQ_7FF8A21A22A4_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_000.pdb,<local_path_removed>/R0074_knottin_SEQ_7FF8A21A22A4_local_exact_prediction.pdb,,local_exact_sequence_prediction
74,R0075_kunitz_SEQ_796B1D1C8681,kunitz,bitoran V,local_exact_prediction,<local_path_removed>/SEQ_796B1D1C8681_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_000.pdb,<local_path_removed>/R0075_kunitz_SEQ_796B1D1C8681_local_exact_prediction.pdb,,local_exact_sequence_prediction
75,R0076_avimer_SEQ_EEDB4D5DD8AB,avimer,,local_exact_prediction,<local_path_removed>/SEQ_EEDB4D5DD8AB_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_000.pdb,<local_path_removed>/R0076_avimer_SEQ_EEDB4D5DD8AB_local_exact_prediction.pdb,,local_exact_sequence_prediction
76,R0077_avimer_SEQ_2B627ED59C5B,avimer,,local_exact_prediction,<local_path_removed>/SEQ_2B627ED59C5B_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_000.pdb,<local_path_removed>/R0077_avimer_SEQ_2B627ED59C5B_local_exact_prediction.pdb,,local_exact_sequence_prediction
77,R0078_avimer_SEQ_0BE9D42231D3,avimer,,local_exact_prediction,<local_path_removed>/SEQ_0BE9D42231D3_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_000.pdb,<local_path_removed>/R0078_avimer_SEQ_0BE9D42231D3_local_exact_prediction.pdb,,local_exact_sequence_prediction
78,R0079_avimer_SEQ_C5B162431E78,avimer,,local_exact_prediction,<local_path_removed>/SEQ_C5B162431E78_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_000.pdb,<local_path_removed>/R0079_avimer_SEQ_C5B162431E78_local_exact_prediction.pdb,,local_exact_sequence_prediction
79,R0080_avimer_SEQ_6131D5E85EA3,avimer,,local_exact_prediction,<local_path_removed>/SEQ_6131D5E85EA3_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_000.pdb,<local_path_removed>/R0080_avimer_SEQ_6131D5E85EA3_local_exact_prediction.pdb,,local_exact_sequence_prediction
80,R0081_kunitz_SEQ_94EC9B34D91C,kunitz,hepatocyte growth factor activator inhibitor type-1,local_exact_prediction,<local_path_removed>/SEQ_94EC9B34D91C_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_000.pdb,<local_path_removed>/R0081_kunitz_SEQ_94EC9B34D91C_local_exact_prediction.pdb,,local_exact_sequence_prediction
81,R0082_knottin_SEQ_BBFDA5A89A5B,knottin,AGRP,PDB_exact,<local_path_removed>/SEQ_BBFDA5A89A5B_1MR0_full.pdb,<local_path_removed>/R0082_knottin_SEQ_BBFDA5A89A5B_PDB_exact.pdb,1MR0_A,PDB_exact_experimental_located
82,R0083_kunitz_SEQ_2E59D42920C0,kunitz,Tissue-Factor Pathway Inhibitor-2 (TFPI-2),local_exact_prediction,<local_path_removed>/SEQ_2E59D42920C0_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_000.pdb,<local_path_removed>/R0083_kunitz_SEQ_2E59D42920C0_local_exact_prediction.pdb,,local_exact_sequence_prediction
83,R0084_adnectin_SEQ_783878824313,adnectin,Tenascin,PDB_exact,<local_path_removed>/SEQ_783878824313_1TEN_full.pdb,<local_path_removed>/R0084_adnectin_SEQ_783878824313_PDB_exact.pdb,1TEN_A,PDB_exact_experimental_located
84,R0085_adnectin_SEQ_7C462E25F1CF,adnectin,3rd FN3 domain of human Tenascin,local_exact_prediction,<local_path_removed>/SEQ_7C462E25F1CF_unrelaxed_rank_001_alphafold2_ptm_model_1_seed_000.pdb,<local_path_removed>/R0085_adnectin_SEQ_7C462E25F1CF_local_exact_prediction.pdb,,local_exact_sequence_prediction
85,R0086_knottin_SEQ_9898A9A6A5F0,knottin,Toxin GTx1-15,PDB_exact,<local_path_removed>/SEQ_9898A9A6A5F0_6MK5_full.pdb,<local_path_removed>/R0086_knottin_SEQ_9898A9A6A5F0_PDB_exact.pdb,,PDB_exact_experimental
86,R0087_knottin_SEQ_0551C7B0C5FA,knottin,Beta-theraphotoxin-Cm1a,PDB_exact,<local_path_removed>/SEQ_0551C7B0C5FA_6BR0_full.pdb,<local_path_removed>/R0087_knottin_SEQ_0551C7B0C5FA_PDB_exact.pdb,6BR0_A,PDB_exact_experimental_located
87,R0088_knottin_SEQ_BF8AA209B521,knottin,Beta-theraphotoxin-Cm1b,PDB_exact,<local_path_removed>/SEQ_BF8AA209B521_6BTV_full.pdb,<local_path_removed>/R0088_knottin_SEQ_BF8AA209B521_PDB_exact.pdb,6BTV_A,PDB_exact_experimental_located
